model	d	lambda	eta_max	eta_used	iters	max_diff_AD_analytic	max_diff_GD_ClosedForm	MSE	R2
Ridge	3	27.8256	0.0334776	0.0167388	6	5.55112e-17	2.74417e-11	0.178891	-0.178472
Ridge	3	464.159	0.00214498	0.00107249	3	5.55112e-17	6.86887e-12	0.182922	-0.205022
Ridge	3	7742.64	0.000129121	6.45604e-05	2	5.55112e-17	5.93686e-13	0.183176	-0.206699
Ridge	3	129155	7.74251e-06	3.87126e-06	2	5.55112e-17	1.27984e-16	0.183191	-0.2068
Ridge	3	2.15443e+06	4.64158e-07	2.32079e-07	2	5.55112e-17	2.75683e-20	0.183192	-0.206806
Ridge	3	3.59381e+07	2.78256e-08	1.39128e-08	1	5.55112e-17	1.82674e-16	0.183192	-0.206806
Ridge	3	5.99484e+08	1.6681e-09	8.3405e-10	1	5.55112e-17	6.56496e-19	0.183192	-0.206806
Ridge	3	1e+10	1e-10	5e-11	1	5.55112e-17	2.35931e-21	0.183192	-0.206806
OLS	4	0	0.39703	0.198515	1158	1.11022e-16	5.77904e-07	0.0397779	0.737957
Ridge	4	0.1	0.381869	0.190934	276	1.11022e-16	1.32051e-07	0.0926051	0.38995
Ridge	4	1.6681	0.238846	0.119423	28	1.11022e-16	6.38612e-09	0.138182	0.089705
Ridge	4	27.8256	0.0329551	0.0164776	6	1.11022e-16	2.65198e-10	0.176784	-0.164593
Ridge	4	464.159	0.00214281	0.0010714	3	1.11022e-16	1.08049e-11	0.182773	-0.204042
Ridge	4	7742.64	0.000129113	6.45565e-05	2	1.11022e-16	5.93827e-13	0.183167	-0.20664
Ridge	4	129155	7.74249e-06	3.87124e-06	2	1.11022e-16	1.28025e-16	0.183191	-0.206796
Ridge	4	2.15443e+06	4.64158e-07	2.32079e-07	2	1.11022e-16	2.75947e-20	0.183192	-0.206806
Ridge	4	3.59381e+07	2.78256e-08	1.39128e-08	1	1.11022e-16	1.33903e-16	0.183192	-0.206806
Ridge	4	5.99484e+08	1.6681e-09	8.3405e-10	1	1.11022e-16	4.81221e-19	0.183192	-0.206806
Ridge	4	1e+10	1e-10	5e-11	1	1.11022e-16	1.72942e-21	0.183192	-0.206806
OLS	5	0	0.302775	0.151388	8485	1.11022e-16	5.90756e-06	0.0385392	0.746118
Ridge	5	0.1	0.293878	0.146939	365	1.11022e-16	1.69402e-07	0.0918152	0.395154
Ridge	5	1.6681	0.201172	0.100586	34	1.11022e-16	8.99828e-09	0.138133	0.0900289
Ridge	5	27.8256	0.032125	0.0160625	7	1.11022e-16	1.2966e-10	0.176736	-0.164276
Ridge	5	464.159	0.00213921	0.00106961	3	1.11022e-16	3.54552e-11	0.182767	-0.204006
Ridge	5	7742.64	0.0001291	6.45499e-05	2	1.11022e-16	1.57701e-12	0.183167	-0.206638
Ridge	5	129155	7.74244e-06	3.87122e-06	2	1.11022e-16	3.4007e-16	0.183191	-0.206796
Ridge	5	2.15443e+06	4.64158e-07	2.32079e-07	2	1.11022e-16	7.32816e-20	0.183192	-0.206806
Ridge	5	3.59381e+07	2.78256e-08	1.39128e-08	1	1.11022e-16	2.67723e-16	0.183192	-0.206806
Ridge	5	5.99484e+08	1.6681e-09	8.3405e-10	1	1.11022e-16	9.62147e-19	0.183192	-0.206806
Ridge	5	1e+10	1e-10	5e-11	1	1.11022e-16	3.45777e-21	0.183192	-0.206806
OLS	6	0	0.255258	0.127629	10000	1.11022e-16	0.165214	0.0258862	0.829471
Ridge	6	0.1	0.248904	0.124452	455	1.11022e-16	2.96098e-07	0.0868502	0.427862
Ridge	6	1.6681	0.179028	0.0895141	38	1.11022e-16	1.55828e-08	0.13759	0.0936043
Ridge	6	27.8256	0.0315028	0.0157514	7	1.11022e-16	5.80185e-10	0.175441	-0.155745
Ridge	6	464.159	0.0021364	0.0010682	4	1.11022e-16	4.81666e-13	0.182664	-0.203326
Ridge	6	7742.64	0.00012909	6.45448e-05	2	1.11022e-16	2.17173e-12	0.18316	-0.206596
Ridge	6	129155	7.7424e-06	3.8712e-06	2	1.11022e-16	4.68376e-16	0.18319	-0.206794
Ridge	6	2.15443e+06	4.64158e-07	2.32079e-07	2	1.11022e-16	1.0081e-19	0.183192	-0.206806
Ridge	6	3.59381e+07	2.78256e-08	1.39128e-08	1	1.11022e-16	2.71743e-16	0.183192	-0.206806
Ridge	6	5.99484e+08	1.6681e-09	8.3405e-10	1	1.11022e-16	9.76594e-19	0.183192	-0.206806
Ridge	6	1e+10	1e-10	5e-11	1	1.11022e-16	3.5097e-21	0.183192	-0.206806
OLS	7	0	0.213275	0.106637	10000	1.11022e-16	2.47899	0.0252283	0.833805
Ridge	7	0.1	0.208821	0.104411	533	1.11022e-16	3.60181e-07	0.0868125	0.42811
Ridge	7	1.6681	0.15731	0.0786548	44	1.11022e-16	1.72381e-08	0.137481	0.0943262
Ridge	7	27.8256	0.0307556	0.0153778	8	1.11022e-16	2.50649e-10	0.175398	-0.15546
Ridge	7	464.159	0.00213289	0.00106644	4	1.11022e-16	1.11907e-12	0.182658	-0.203284
Ridge	7	7742.64	0.000129077	6.45384e-05	3	1.11022e-16	1.78958e-15	0.18316	-0.206593
Ridge	7	129155	7.74236e-06	3.87118e-06	2	1.11022e-16	8.19464e-16	0.18319	-0.206794
Ridge	7	2.15443e+06	4.64158e-07	2.32079e-07	2	1.11022e-16	1.76474e-19	0.183192	-0.206806
Ridge	7	3.59381e+07	2.78256e-08	1.39128e-08	1	1.11022e-16	4.02151e-16	0.183192	-0.206806
Ridge	7	5.99484e+08	1.6681e-09	8.3405e-10	1	1.11022e-16	1.44526e-18	0.183192	-0.206806
Ridge	7	1e+10	1e-10	5e-11	1	1.11022e-16	5.19398e-21	0.183192	-0.206806
OLS	8	0	0.186126	0.0930631	10000	1.11022e-16	7.6326	0.0267371	0.823866
Ridge	8	0.1	0.182725	0.0913626	620	1.11022e-16	3.80993e-07	0.0853821	0.437533
Ridge	8	1.6681	0.142029	0.0710146	48	1.11022e-16	2.33857e-08	0.137477	0.0943479
Ridge	8	27.8256	0.030122	0.015061	8	1.11022e-16	7.91184e-10	0.174518	-0.149661
Ridge	8	464.159	0.00212978	0.00106489	4	1.11022e-16	2.24054e-12	0.182579	-0.202764
Ridge	8	7742.64	0.000129065	6.45327e-05	3	1.11022e-16	2.97683e-15	0.183155	-0.206561
Ridge	8	129155	7.74231e-06	3.87116e-06	2	1.11022e-16	1.10775e-15	0.18319	-0.206792
Ridge	8	2.15443e+06	4.64158e-07	2.32079e-07	2	1.11022e-16	2.38678e-19	0.183192	-0.206806
Ridge	8	3.59381e+07	2.78256e-08	1.39128e-08	1	1.11022e-16	4.37096e-16	0.183192	-0.206806
Ridge	8	5.99484e+08	1.6681e-09	8.3405e-10	1	1.11022e-16	1.57084e-18	0.183192	-0.206806
Ridge	8	1e+10	1e-10	5e-11	1	1.11022e-16	5.64532e-21	0.183192	-0.206806
OLS	9	0	0.162588	0.0812939	10000	1.11022e-16	8.57309	0.02526	0.833596
Ridge	9	0.1	0.159987	0.0799933	700	1.11022e-16	4.36488e-07	0.0854543	0.437057
Ridge	9	1.6681	0.1279	0.0639499	54	1.11022e-16	2.43706e-08	0.137359	0.0951309
Ridge	9	27.8256	0.0294324	0.0147162	9	1.11022e-16	3.49692e-10	0.174483	-0.149429
Ridge	9	464.159	0.00212626	0.00106313	4	1.11022e-16	4.14875e-12	0.182572	-0.202721
Ridge	9	7742.64	0.000129052	6.45262e-05	3	1.11022e-16	4.93908e-15	0.183155	-0.206559
Ridge	9	129155	7.74227e-06	3.87113e-06	2	1.11022e-16	1.63279e-15	0.18319	-0.206792
Ridge	9	2.15443e+06	4.64158e-07	2.32079e-07	2	1.11022e-16	3.51836e-19	0.183192	-0.206806
Ridge	9	3.59381e+07	2.78256e-08	1.39128e-08	1	1.11022e-16	5.67906e-16	0.183192	-0.206806
Ridge	9	5.99484e+08	1.6681e-09	8.3405e-10	1	1.11022e-16	2.04095e-18	0.183192	-0.206806
Ridge	9	1e+10	1e-10	5e-11	1	1.11022e-16	7.33478e-21	0.183192	-0.206806
OLS	10	0	0.145386	0.0726932	10000	1.11022e-16	29.066	0.0262704	0.82694
Ridge	10	0.1	0.143303	0.0716515	777	1.11022e-16	4.45377e-07	0.0853674	0.43763
Ridge	10	1.6681	0.117009	0.0585047	58	1.11022e-16	3.08803e-08	0.1374	0.0948594
Ridge	10	27.8256	0.0288153	0.0144076	9	1.11022e-16	9.07883e-10	0.173854	-0.145288
Ridge	10	464.159	0.00212297	0.00106149	4	1.11022e-16	7.15663e-12	0.182509	-0.202304
Ridge	10	7742.64	0.00012904	6.45202e-05	3	1.11022e-16	7.43676e-15	0.183151	-0.206533
Ridge	10	129155	7.74222e-06	3.87111e-06	2	1.11022e-16	2.11041e-15	0.18319	-0.20679
Ridge	10	2.15443e+06	4.64157e-07	2.32079e-07	2	1.11022e-16	4.54671e-19	0.183192	-0.206805
Ridge	10	3.59381e+07	2.78256e-08	1.39128e-08	2	1.11022e-16	9.09899e-23	0.183192	-0.206806
Ridge	10	5.99484e+08	1.6681e-09	8.3405e-10	1	1.11022e-16	2.24213e-18	0.183192	-0.206806
Ridge	10	1e+10	1e-10	5e-11	1	1.11022e-16	8.05778e-21	0.183192	-0.206806
OLS	11	0	0.130373	0.0651866	10000	1.11022e-16	35.5418	0.0254567	0.8323
Ridge	11	0.1	0.128695	0.0643477	858	1.11022e-16	5.01962e-07	0.0854015	0.437405
Ridge	11	1.6681	0.107085	0.0535424	64	1.11022e-16	3.17473e-08	0.137285	0.0956164
Ridge	11	27.8256	0.0281723	0.0140861	9	1.11022e-16	2.03082e-09	0.173827	-0.145111
Ridge	11	464.159	0.00211941	0.00105971	4	1.11022e-16	1.16611e-11	0.182502	-0.20226
Ridge	11	7742.64	0.000129027	6.45136e-05	3	1.11022e-16	1.10537e-14	0.18315	-0.20653
Ridge	11	129155	7.74218e-06	3.87109e-06	2	1.11022e-16	2.83945e-15	0.18319	-0.20679
Ridge	11	2.15443e+06	4.64157e-07	2.32079e-07	2	1.11022e-16	6.11809e-19	0.183192	-0.206805
Ridge	11	3.59381e+07	2.78256e-08	1.39128e-08	2	1.11022e-16	1.36485e-22	0.183192	-0.206806
Ridge	11	5.99484e+08	1.6681e-09	8.3405e-10	1	1.11022e-16	2.71928e-18	0.183192	-0.206806
Ridge	11	1e+10	1e-10	5e-11	1	1.11022e-16	9.77261e-21	0.183192	-0.206806
OLS	12	0	0.118605	0.0593023	10000	1.11022e-16	86.266	0.0258849	0.82948
Ridge	12	0.1	0.117214	0.0586072	929	1.11022e-16	5.29702e-07	0.0856276	0.435916
Ridge	12	1.6681	0.0990151	0.0495075	69	1.11022e-16	3.31682e-08	0.1373	0.0955134
Ridge	12	27.8256	0.0275809	0.0137905	10	1.11022e-16	9.68296e-10	0.173366	-0.142073
Ridge	12	464.159	0.002116	0.001058	4	1.11022e-16	1.82263e-11	0.18245	-0.201918
Ridge	12	7742.64	0.000129014	6.45072e-05	3	1.11022e-16	1.55173e-14	0.183147	-0.206509
Ridge	12	129155	7.74213e-06	3.87107e-06	2	1.11022e-16	3.53328e-15	0.18319	-0.206789
Ridge	12	2.15443e+06	4.64157e-07	2.32079e-07	2	1.11022e-16	7.6139e-19	0.183192	-0.206805
Ridge	12	3.59381e+07	2.78256e-08	1.39128e-08	2	1.11022e-16	1.66263e-22	0.183192	-0.206806
Ridge	12	5.99484e+08	1.6681e-09	8.3405e-10	1	1.11022e-16	2.97727e-18	0.183192	-0.206806
Ridge	12	1e+10	1e-10	5e-11	1	1.11022e-16	1.06998e-20	0.183192	-0.206806
OLS	13	0	0.10822	0.05411	10000	1.11022e-16	103.558	0.0257842	0.830143
Ridge	13	0.1	0.107061	0.0535307	1013	1.11022e-16	5.74473e-07	0.0856113	0.436023
Ridge	13	1.6681	0.0916713	0.0458357	74	1.11022e-16	4.12961e-08	0.137192	0.0962274
Ridge	13	27.8256	0.0269789	0.0134894	10	1.11022e-16	1.9883e-09	0.173346	-0.141944
Ridge	13	464.159	0.00211238	0.00105619	4	1.11022e-16	2.73375e-11	0.182444	-0.201875
Ridge	13	7742.64	0.000129001	6.45005e-05	3	1.11022e-16	2.15105e-14	0.183147	-0.206506
Ridge	13	129155	7.74208e-06	3.87104e-06	2	1.11022e-16	4.49308e-15	0.18319	-0.206788
Ridge	13	2.15443e+06	4.64157e-07	2.32078e-07	2	1.11022e-16	9.68225e-19	0.183192	-0.206805
Ridge	13	3.59381e+07	2.78256e-08	1.39128e-08	2	1.11022e-16	2.04314e-22	0.183192	-0.206806
Ridge	13	5.99484e+08	1.6681e-09	8.3405e-10	1	1.11022e-16	3.46363e-18	0.183192	-0.206806
Ridge	13	1e+10	1e-10	5e-11	1	1.11022e-16	1.24476e-20	0.183192	-0.206806
OLS	14	0	0.0997093	0.0498547	10000	1.11022e-16	168.42	0.0259641	0.828958
Ridge	14	0.1	0.098725	0.0493625	1083	1.11022e-16	6.25957e-07	0.0858226	0.434631
Ridge	14	1.6681	0.0854902	0.0427451	79	1.11022e-16	4.50435e-08	0.137181	0.0963011
Ridge	14	27.8256	0.0264168	0.0132084	11	1.11022e-16	9.99952e-10	0.173003	-0.13968
Ridge	14	464.159	0.00210887	0.00105443	4	1.11022e-16	3.98646e-11	0.1824	-0.201588
Ridge	14	7742.64	0.000128988	6.44939e-05	3	1.11022e-16	2.8707e-14	0.183144	-0.206488
Ridge	14	129155	7.74204e-06	3.87102e-06	2	1.11022e-16	5.42761e-15	0.18319	-0.206787
Ridge	14	2.15443e+06	4.64157e-07	2.32078e-07	2	1.11022e-16	1.16957e-18	0.183192	-0.206805
Ridge	14	3.59381e+07	2.78256e-08	1.39128e-08	2	1.11022e-16	2.53117e-22	0.183192	-0.206806
Ridge	14	5.99484e+08	1.6681e-09	8.3405e-10	1	1.11022e-16	3.76686e-18	0.183192	-0.206806
Ridge	14	1e+10	1e-10	5e-11	1	1.11022e-16	1.35374e-20	0.183192	-0.206806
OLS	15	0	0.0921188	0.0460594	10000	1.11022e-16	185.246	0.0262772	0.826895
Ridge	15	0.1	0.0912779	0.045639	1169	1.11022e-16	6.61933e-07	0.0857762	0.434937
Ridge	15	1.6681	0.0798489	0.0399245	85	1.11022e-16	4.64767e-08	0.13708	0.0969656
Ridge	15	27.8256	0.0258524	0.0129262	11	1.11022e-16	1.92543e-09	0.172989	-0.139588
Ridge	15	464.159	0.0021052	0.0010526	4	1.11022e-16	5.63898e-11	0.182394	-0.201546
Ridge	15	7742.64	0.000128974	6.44871e-05	3	1.11022e-16	3.79081e-14	0.183144	-0.206485
Ridge	15	129155	7.74199e-06	3.87099e-06	2	1.11022e-16	6.64165e-15	0.183189	-0.206787
Ridge	15	2.15443e+06	4.64157e-07	2.32078e-07	2	1.11022e-16	1.43112e-18	0.183192	-0.206805
Ridge	15	3.59381e+07	2.78256e-08	1.39128e-08	2	1.11022e-16	3.08538e-22	0.183192	-0.206806
Ridge	15	5.99484e+08	1.6681e-09	8.3405e-10	1	1.11022e-16	4.26286e-18	0.183192	-0.206806
Ridge	15	1e+10	1e-10	5e-11	1	1.11022e-16	1.53199e-20	0.183192	-0.206806
