model	d	lambda	eta_max	eta_used	iters	max_diff_AD_analytic	max_diff_GD_ClosedForm	MSE	R2
OLS	1	0	1	0.5	2	6.93889e-18	8.67362e-18	0.184919	-0.21818
Ridge	1	0.1	0.909091	0.454545	2	6.93889e-18	6.07153e-18	0.184759	-0.217129
Ridge	1	1.6681	0.374798	0.187399	2	6.93889e-18	2.1684e-18	0.183832	-0.21102
Ridge	1	27.8256	0.0346914	0.0173457	2	6.93889e-18	5.42101e-20	0.183251	-0.207194
Ridge	1	464.159	0.0021498	0.0010749	2	6.93889e-18	1.69407e-20	0.183196	-0.20683
Ridge	1	7742.64	0.000129138	6.45691e-05	2	6.93889e-18	4.23516e-22	0.183193	-0.206808
Ridge	1	129155	7.74258e-06	3.87129e-06	2	6.93889e-18	5.29396e-23	0.183192	-0.206807
Ridge	1	2.15443e+06	4.64159e-07	2.32079e-07	1	6.93889e-18	2.06795e-24	0.183192	-0.206806
Ridge	1	3.59381e+07	2.78256e-08	1.39128e-08	1	6.93889e-18	2.06795e-25	0.183192	-0.206806
Ridge	1	5.99484e+08	1.6681e-09	8.3405e-10	1	6.93889e-18	1.13091e-26	0.183192	-0.206806
Ridge	1	1e+10	1e-10	5e-11	1	6.93889e-18	4.03897e-28	0.183192	-0.206806
OLS	2	0	0.837781	0.418891	16	5.55112e-17	2.19697e-09	0.0979724	0.354592
Ridge	2	0.1	0.773019	0.38651	15	5.55112e-17	1.80226e-09	0.102824	0.322633
Ridge	2	1.6681	0.349439	0.17472	9	5.55112e-17	7.2298e-10	0.142628	0.0604154
Ridge	2	27.8256	0.0344599	0.01723	5	5.55112e-17	1.73774e-12	0.178933	-0.178745
Ridge	2	464.159	0.00214891	0.00107445	3	5.55112e-17	1.45712e-13	0.182925	-0.205046
Ridge	2	7742.64	0.000129135	6.45675e-05	2	5.55112e-17	3.7968e-14	0.183176	-0.206701
Ridge	2	129155	7.74257e-06	3.87128e-06	2	5.55112e-17	8.1832e-18	0.183191	-0.2068
Ridge	2	2.15443e+06	4.64159e-07	2.32079e-07	2	5.55112e-17	1.76107e-21	0.183192	-0.206806
Ridge	2	3.59381e+07	2.78256e-08	1.39128e-08	1	5.55112e-17	3.52494e-17	0.183192	-0.206806
Ridge	2	5.99484e+08	1.6681e-09	8.3405e-10	1	5.55112e-17	1.2668e-19	0.183192	-0.206806
Ridge	2	1e+10	1e-10	5e-11	1	5.55112e-17	4.55264e-22	0.183192	-0.206806
OLS	3	0	0.488971	0.244485	373	5.55112e-17	1.96158e-07	0.0898963	0.407795
Ridge	3	0.1	0.466176	0.233088	159	5.55112e-17	8.08129e-08	0.0990809	0.34729
Ridge	3	1.6681	0.269309	0.134654	21	5.55112e-17	7.59665e-09	0.14274	0.0596778
