model	d	lambda	eta_max	eta_used	iters	max_diff_AD_analytic	max_diff_GD_ClosedForm	MSE	R2
OLS	1	0	1	0.5	2	5.20417e-18	8.67362e-19	0.087081	-0.0184129
Ridge	1	0.1	0.909091	0.454545	2	5.20417e-18	0	0.0871097	-0.0187482
Ridge	1	1.6681	0.374798	0.187399	2	5.20417e-18	2.1684e-19	0.0872815	-0.0207578
Ridge	1	27.8256	0.0346914	0.0173457	2	5.20417e-18	1.35525e-19	0.0873939	-0.0220718
Ridge	1	464.159	0.0021498	0.0010749	2	5.20417e-18	9.31736e-21	0.0874047	-0.0221989
Ridge	1	7742.64	0.000129138	6.45691e-05	2	5.20417e-18	4.76456e-22	0.0874054	-0.0222068
Ridge	1	129155	7.74258e-06	3.87129e-06	2	5.20417e-18	4.30134e-23	0.0874054	-0.0222073
Ridge	1	2.15443e+06	4.64159e-07	2.32079e-07	1	5.20417e-18	1.44757e-24	0.0874054	-0.0222073
Ridge	1	3.59381e+07	2.78256e-08	1.39128e-08	1	5.20417e-18	0	0.0874054	-0.0222073
Ridge	1	5.99484e+08	1.6681e-09	8.3405e-10	1	5.20417e-18	8.07794e-28	0.0874054	-0.0222073
Ridge	1	1e+10	1e-10	5e-11	1	5.20417e-18	5.04871e-29	0.0874054	-0.0222073
OLS	2	0	0.985135	0.492567	6	1.11022e-16	7.31305e-11	0.0491208	0.425532
Ridge	2	0.1	0.896789	0.448395	6	1.11022e-16	3.77806e-11	0.0493707	0.422609
Ridge	2	1.6681	0.372691	0.186345	5	1.11022e-16	7.07659e-12	0.0639343	0.252288
Ridge	2	27.8256	0.0346732	0.0173366	3	1.11022e-16	4.14813e-12	0.0847767	0.00853534
Ridge	2	464.159	0.00214973	0.00107487	3	1.11022e-16	6.15285e-17	0.0872398	-0.0202707
Ridge	2	7742.64	0.000129138	6.4569e-05	2	1.11022e-16	2.04586e-16	0.0873955	-0.0220909
Ridge	2	129155	7.74258e-06	3.87129e-06	2	1.11022e-16	4.4681e-20	0.0874048	-0.0222003
Ridge	2	2.15443e+06	4.64159e-07	2.32079e-07	2	1.11022e-16	3.97047e-23	0.0874054	-0.0222069
Ridge	2	3.59381e+07	2.78256e-08	1.39128e-08	1	1.11022e-16	2.4373e-18	0.0874054	-0.0222073
Ridge	2	5.99484e+08	1.6681e-09	8.3405e-10	1	1.11022e-16	8.7592e-21	0.0874054	-0.0222073
Ridge	2	1e+10	1e-10	5e-11	1	1.11022e-16	3.14815e-23	0.0874054	-0.0222073
OLS	3	0	0.522869	0.261434	267	1.11022e-16	1.45077e-07	0.0478725	0.440131
Ridge	3	0.1	0.496888	0.248444	128	1.11022e-16	6.62237e-08	0.0488611	0.428569
Ridge	3	1.6681	0.279281	0.13964	19	1.11022e-16	5.27538e-09	0.0639431	0.252185
Ridge	3	27.8256	0.0336269	0.0168134	5	1.11022e-16	1.95857e-10	0.0847765	0.00853785
Ridge	3	464.159	0.00214559	0.0010728	3	1.11022e-16	3.32322e-12	0.0872398	-0.0202703
Ridge	3	7742.64	0.000129123	6.45615e-05	2	1.11022e-16	3.68834e-13	0.0873955	-0.0220908
Ridge	3	129155	7.74252e-06	3.87126e-06	2	1.11022e-16	7.95101e-17	0.0874048	-0.0222003
Ridge	3	2.15443e+06	4.64158e-07	2.32079e-07	2	1.11022e-16	1.71392e-20	0.0874054	-0.0222069
Ridge	3	3.59381e+07	2.78256e-08	1.39128e-08	1	1.11022e-16	1.4527e-16	0.0874054	-0.0222073
Ridge	3	5.99484e+08	1.6681e-09	8.3405e-10	1	1.11022e-16	5.22075e-19	0.0874054	-0.0222073
Ridge	3	1e+10	1e-10	5e-11	1	1.11022e-16	1.87624e-21	0.0874054	-0.0222073
OLS	4	0	0.509518	0.254759	667	1.11022e-16	3.16808e-07	0.0256323	0.700231
Ridge	4	0.1	0.484816	0.242408	203	1.11022e-16	8.97536e-08	0.0418308	0.510789
Ridge	4	1.6681	0.275426	0.137713	23	1.11022e-16	6.36824e-09	0.0631088	0.261942
Ridge	4	27.8256	0.0335703	0.0167852	6	1.11022e-16	6.4691e-11	0.0836494	0.0217192
Ridge	4	464.159	0.00214536	0.00107268	3	1.11022e-16	3.78509e-12	0.0871584	-0.019318
Ridge	4	7742.64	0.000129122	6.45611e-05	2	1.11022e-16	1.99671e-13	0.0873905	-0.0220331
Ridge	4	129155	7.74252e-06	3.87126e-06	2	1.11022e-16	4.30388e-17	0.0874045	-0.0221969
Ridge	4	2.15443e+06	4.64158e-07	2.32079e-07	2	1.11022e-16	9.31736e-21	0.0874054	-0.0222067
Ridge	4	3.59381e+07	2.78256e-08	1.39128e-08	1	1.11022e-16	3.80962e-17	0.0874054	-0.0222073
Ridge	4	5.99484e+08	1.6681e-09	8.3405e-10	1	1.11022e-16	1.36911e-19	0.0874054	-0.0222073
Ridge	4	1e+10	1e-10	5e-11	1	1.11022e-16	4.92046e-22	0.0874054	-0.0222073
OLS	5	0	0.35657	0.178285	4856	1.11022e-16	4.41571e-06	0.0254576	0.702273
Ridge	5	0.1	0.344294	0.172147	281	1.11022e-16	1.31522e-07	0.0417695	0.511506
