model	d	lambda	eta_max	eta_used	iters	max_diff_AD_analytic	max_diff_GD_ClosedForm	MSE	R2
OLS	1	0	1	0.5	2	6.93889e-18	6.93889e-18	0.136001	-0.00151214
Ridge	1	0.1	0.909091	0.454545	2	6.93889e-18	0	0.135929	-0.000984177
Ridge	1	1.6681	0.374798	0.187399	2	6.93889e-18	5.20417e-18	0.135869	-0.000544737
Ridge	1	27.8256	0.0346914	0.0173457	2	6.93889e-18	1.0842e-19	0.136153	-0.00263631
Ridge	1	464.159	0.0021498	0.0010749	2	6.93889e-18	6.77626e-21	0.136194	-0.00293312
Ridge	1	7742.64	0.000129138	6.45691e-05	2	6.93889e-18	0	0.136196	-0.00295211
Ridge	1	129155	7.74258e-06	3.87129e-06	2	6.93889e-18	2.64698e-23	0.136197	-0.00295325
Ridge	1	2.15443e+06	4.64159e-07	2.32079e-07	2	6.93889e-18	4.96308e-24	0.136197	-0.00295332
Ridge	1	3.59381e+07	2.78256e-08	1.39128e-08	1	6.93889e-18	1.03398e-25	0.136197	-0.00295333
Ridge	1	5.99484e+08	1.6681e-09	8.3405e-10	1	6.93889e-18	6.46235e-27	0.136197	-0.00295333
Ridge	1	1e+10	1e-10	5e-11	1	6.93889e-18	4.03897e-28	0.136197	-0.00295333
OLS	2	0	0.907641	0.453821	11	2.22045e-16	1.13949e-09	0.0649475	0.521726
Ridge	2	0.1	0.832115	0.416058	11	2.22045e-16	3.94302e-10	0.0608788	0.551687
Ridge	2	1.6681	0.361029	0.180515	7	2.22045e-16	5.3971e-10	0.0798382	0.41207
Ridge	2	27.8256	0.0345694	0.0172847	4	2.22045e-16	1.02193e-11	0.129473	0.0465609
Ridge	2	464.159	0.00214933	0.00107467	3	2.22045e-16	2.15632e-14	0.135771	0.000181784
Ridge	2	7742.64	0.000129137	6.45683e-05	2	2.22045e-16	1.06874e-14	0.136171	-0.00276475
Ridge	2	129155	7.74257e-06	3.87129e-06	2	2.22045e-16	2.30308e-18	0.136195	-0.00294202
Ridge	2	2.15443e+06	4.64159e-07	2.32079e-07	2	2.22045e-16	5.02926e-22	0.136196	-0.00295265
Ridge	2	3.59381e+07	2.78256e-08	1.39128e-08	1	2.22045e-16	1.88803e-17	0.136197	-0.00295329
Ridge	2	5.99484e+08	1.6681e-09	8.3405e-10	1	2.22045e-16	6.78524e-20	0.136197	-0.00295332
Ridge	2	1e+10	1e-10	5e-11	1	2.22045e-16	2.43853e-22	0.136197	-0.00295333
OLS	3	0	0.513739	0.256869	301	2.22045e-16	1.57084e-07	0.0682847	0.49715
Ridge	3	0.1	0.488636	0.244318	139	2.22045e-16	7.20871e-08	0.0620737	0.542888
Ridge	3	1.6681	0.276655	0.138327	20	2.22045e-16	5.62872e-09	0.0797425	0.412775
Ridge	3	27.8256	0.0335885	0.0167942	6	2.22045e-16	1.31373e-11	0.129409	0.0470294
Ridge	3	464.159	0.00214544	0.00107272	3	2.22045e-16	5.00326e-12	0.135766	0.000216758
Ridge	3	7742.64	0.000129123	6.45613e-05	2	2.22045e-16	5.19009e-13	0.136171	-0.00276263
Ridge	3	129155	7.74252e-06	3.87126e-06	2	2.22045e-16	1.11883e-16	0.136195	-0.00294189
Ridge	3	2.15443e+06	4.64158e-07	2.32079e-07	2	2.22045e-16	2.39816e-20	0.136196	-0.00295264
Ridge	3	3.59381e+07	2.78256e-08	1.39128e-08	1	2.22045e-16	1.91146e-16	0.136197	-0.00295328
Ridge	3	5.99484e+08	1.6681e-09	8.3405e-10	1	2.22045e-16	6.86942e-19	0.136197	-0.00295332
Ridge	3	1e+10	1e-10	5e-11	1	2.22045e-16	2.46876e-21	0.136197	-0.00295333
OLS	4	0	0.458295	0.229148	670	1.11022e-16	3.21363e-07	0.0357553	0.736698
Ridge	4	0.1	0.438212	0.219106	218	1.11022e-16	9.93693e-08	0.0522591	0.615163
