model	d	lambda	eta_max	eta_used	iters	max_diff_AD_analytic	max_diff_GD_ClosedForm	MSE	R2
Ridge	4	1.6681	0.259733	0.129867	25	1.11022e-16	6.56496e-09	0.0741941	0.453633
Ridge	4	27.8256	0.0333249	0.0166624	6	1.11022e-16	1.32464e-10	0.125114	0.078659
Ridge	4	464.159	0.00214435	0.00107218	3	1.11022e-16	6.13147e-12	0.135458	0.00248703
Ridge	4	7742.64	0.000129119	6.45593e-05	2	1.11022e-16	3.30606e-13	0.136152	-0.00262502
Ridge	4	129155	7.74251e-06	3.87125e-06	2	1.11022e-16	7.12664e-17	0.136194	-0.00293364
Ridge	4	2.15443e+06	4.64158e-07	2.32079e-07	2	1.11022e-16	1.52995e-20	0.136196	-0.00295215
Ridge	4	3.59381e+07	2.78256e-08	1.39128e-08	1	1.11022e-16	8.44533e-17	0.136197	-0.00295325
Ridge	4	5.99484e+08	1.6681e-09	8.3405e-10	1	1.11022e-16	3.03509e-19	0.136197	-0.00295332
Ridge	4	1e+10	1e-10	5e-11	1	1.11022e-16	1.09076e-21	0.136197	-0.00295333
OLS	5	0	0.343366	0.171683	5490	1.11022e-16	4.15259e-06	0.0348674	0.743236
Ridge	5	0.1	0.331967	0.165984	298	1.11022e-16	1.81411e-07	0.0527946	0.61122
Ridge	5	1.6681	0.218319	0.10916	31	1.11022e-16	7.98158e-09	0.0742058	0.453547
Ridge	5	27.8256	0.0325331	0.0162665	6	1.11022e-16	6.81483e-10	0.125066	0.079015
Ridge	5	464.159	0.002141	0.0010705	3	1.11022e-16	1.94188e-11	0.135453	0.00251936
Ridge	5	7742.64	0.000129106	6.45532e-05	2	1.11022e-16	1.00729e-12	0.136152	-0.00262303
Ridge	5	129155	7.74246e-06	3.87123e-06	2	1.11022e-16	2.17194e-16	0.136194	-0.00293352
Ridge	5	2.15443e+06	4.64158e-07	2.32079e-07	2	1.11022e-16	4.67456e-20	0.136196	-0.00295214
Ridge	5	3.59381e+07	2.78256e-08	1.39128e-08	1	1.11022e-16	2.33181e-16	0.136197	-0.00295325
Ridge	5	5.99484e+08	1.6681e-09	8.3405e-10	1	1.11022e-16	8.38009e-19	0.136197	-0.00295332
Ridge	5	1e+10	1e-10	5e-11	1	1.11022e-16	3.01165e-21	0.136197	-0.00295333
OLS	6	0	0.308525	0.154262	10000	1.11022e-16	0.00176349	0.0215729	0.841137
Ridge	6	0.1	0.299291	0.149645	391	1.11022e-16	2.48379e-07	0.047593	0.649525
Ridge	6	1.6681	0.203694	0.101847	33	1.11022e-16	1.02268e-08	0.0748266	0.448976
Ridge	6	27.8256	0.0321887	0.0160943	7	1.11022e-16	1.96681e-10	0.122075	0.10104
Ridge	6	464.159	0.00213949	0.00106975	3	1.11022e-16	3.4939e-11	0.135209	0.00431803
Ridge	6	7742.64	0.000129101	6.45505e-05	2	1.11022e-16	1.22996e-12	0.136137	-0.00251313
Ridge	6	129155	7.74244e-06	3.87122e-06	2	1.11022e-16	2.65206e-16	0.136193	-0.00292692
Ridge	6	2.15443e+06	4.64158e-07	2.32079e-07	2	1.11022e-16	5.71483e-20	0.136196	-0.00295174
Ridge	6	3.59381e+07	2.78256e-08	1.39128e-08	2	1.11022e-16	9.09899e-24	0.136197	-0.00295323
Ridge	6	5.99484e+08	1.6681e-09	8.3405e-10	1	1.11022e-16	6.51341e-19	0.136197	-0.00295332
Ridge	6	1e+10	1e-10	5e-11	1	1.11022e-16	2.34079e-21	0.136197	-0.00295333
OLS	7	0	0.25677	0.128385	10000	1.11022e-16	0.199486	0.0213922	0.842468
Ridge	7	0.1	0.250342	0.125171	461	1.11022e-16	3.02606e-07	0.0478071	0.647948
Ridge	7	1.6681	0.179771	0.0898855	38	1.11022e-16	1.25416e-08	0.0748705	0.448653
Ridge	7	27.8256	0.0315257	0.0157629	7	1.11022e-16	6.42133e-10	0.122039	0.101301
Ridge	7	464.159	0.00213651	0.00106825	4	1.11022e-16	5.00178e-13	0.135205	0.00434707
Ridge	7	7742.64	0.00012909	6.4545e-05	2	1.11022e-16	2.17386e-12	0.136137	-0.00251132
Ridge	7	129155	7.7424e-06	3.8712e-06	2	1.11022e-16	4.68831e-16	0.136193	-0.00292681
Ridge	7	2.15443e+06	4.64158e-07	2.32079e-07	2	1.11022e-16	1.00929e-19	0.136196	-0.00295174
Ridge	7	3.59381e+07	2.78256e-08	1.39128e-08	2	1.11022e-16	2.23339e-23	0.136197	-0.00295323
Ridge	7	5.99484e+08	1.6681e-09	8.3405e-10	1	1.11022e-16	1.12985e-18	0.136197	-0.00295332
Ridge	7	1e+10	1e-10	5e-11	1	1.11022e-16	4.06047e-21	0.136197	-0.00295333
OLS	8	0	0.234049	0.117024	10000	1.11022e-16	6.45946	0.0221651	0.836776
Ridge	8	0.1	0.228696	0.114348	504	1.11022e-16	2.90142e-07	0.0471859	0.652522
Ridge	8	1.6681	0.16833	0.0841649	40	1.11022e-16	1.39932e-08	0.0757342	0.442292
Ridge	8	27.8256	0.0311544	0.0155772	8	1.11022e-16	1.76642e-10	0.119886	0.117155
Ridge	8	464.159	0.00213478	0.00106739	4	1.11022e-16	9.10752e-13	0.135005	0.00582059
Ridge	8	7742.64	0.000129084	6.45419e-05	2	1.11022e-16	2.82802e-12	0.136124	-0.00242055
Ridge	8	129155	7.74238e-06	3.87119e-06	2	1.11022e-16	6.09942e-16	0.136192	-0.00292136
Ridge	8	2.15443e+06	4.64158e-07	2.32079e-07	2	1.11022e-16	1.31396e-19	0.136196	-0.00295141
Ridge	8	3.59381e+07	2.78256e-08	1.39128e-08	2	1.11022e-16	2.97785e-23	0.136197	-0.00295321
Ridge	8	5.99484e+08	1.6681e-09	8.3405e-10	1	1.11022e-16	1.06912e-18	0.136197	-0.00295332
Ridge	8	1e+10	1e-10	5e-11	1	1.11022e-16	3.84222e-21	0.136197	-0.00295333
OLS	9	0	0.205243	0.102622	10000	1.11022e-16	6.58416	0.0221292	0.837041
Ridge	9	0.1	0.201115	0.100558	568	1.11022e-16	3.30641e-07	0.0472616	0.651965
Ridge	9	1.6681	0.152897	0.0764483	44	1.11022e-16	1.85256e-08	0.0757807	0.44195
Ridge	9	27.8256	0.030583	0.0152915	8	1.11022e-16	4.56325e-10	0.119861	0.117341
Ridge	9	464.159	0.00213205	0.00106603	4	1.11022e-16	1.58613e-12	0.135002	0.00584611
Ridge	9	7742.64	0.000129074	6.45369e-05	3	1.11022e-16	2.19918e-15	0.136124	-0.00241894
Ridge	9	129155	7.74234e-06	3.87117e-06	2	1.11022e-16	8.78814e-16	0.136192	-0.00292127
Ridge	9	2.15443e+06	4.64158e-07	2.32079e-07	2	1.11022e-16	1.89391e-19	0.136196	-0.0029514
Ridge	9	3.59381e+07	2.78256e-08	1.39128e-08	2	1.11022e-16	4.38406e-23	0.136197	-0.00295321
Ridge	9	5.99484e+08	1.6681e-09	8.3405e-10	1	1.11022e-16	1.50928e-18	0.136197	-0.00295332
Ridge	9	1e+10	1e-10	5e-11	1	1.11022e-16	5.42408e-21	0.136197	-0.00295333
OLS	10	0	0.189693	0.0948466	10000	1.11022e-16	29.0926	0.0218555	0.839056
Ridge	10	0.1	0.186162	0.0930809	590	1.11022e-16	3.63488e-07	0.0474689	0.650438
Ridge	10	1.6681	0.144097	0.0720485	47	1.11022e-16	1.71124e-08	0.0761568	0.43918
Ridge	10	27.8256	0.030214	0.015107	8	1.11022e-16	8.59875e-10	0.118289	0.128922
Ridge	10	464.159	0.00213024	0.00106512	4	1.11022e-16	2.50667e-12	0.134836	0.00706939
Ridge	10	7742.64	0.000129067	6.45335e-05	3	1.11022e-16	3.18734e-15	0.136114	-0.00234298
Ridge	10	129155	7.74232e-06	3.87116e-06	2	1.11022e-16	1.1132e-15	0.136192	-0.0029167
Ridge	10	2.15443e+06	4.64158e-07	2.32079e-07	2	1.11022e-16	2.39843e-19	0.136196	-0.00295113
Ridge	10	3.59381e+07	2.78256e-08	1.39128e-08	2	1.11022e-16	5.29396e-23	0.136197	-0.00295319
Ridge	10	5.99484e+08	1.6681e-09	8.3405e-10	1	1.11022e-16	1.53033e-18	0.136197	-0.00295332
Ridge	10	1e+10	1e-10	5e-11	1	1.11022e-16	5.49973e-21	0.136197	-0.00295333
OLS	11	0	0.171475	0.0857376	10000	1.11022e-16	28.9883	0.021802	0.83945
Ridge	11	0.1	0.168584	0.0842922	648	1.11022e-16	3.93464e-07	0.0474866	0.650308
Ridge	11	1.6681	0.133336	0.066668	51	1.11022e-16	1.91843e-08	0.0761927	0.438916
Ridge	11	27.8256	0.0297112	0.0148556	9	1.11022e-16	2.90158e-10	0.118272	0.129046
Ridge	11	464.159	0.0021277	0.00106385	4	1.11022e-16	3.8386e-12	0.134833	0.00709113
Ridge	11	7742.64	0.000129058	6.45289e-05	3	1.11022e-16	4.46057e-15	0.136113	-0.00234158
Ridge	11	129155	7.74229e-06	3.87114e-06	2	1.11022e-16	1.44902e-15	0.136192	-0.00291662
Ridge	11	2.15443e+06	4.64158e-07	2.32079e-07	2	1.11022e-16	3.12238e-19	0.136196	-0.00295113
Ridge	11	3.59381e+07	2.78256e-08	1.39128e-08	2	1.11022e-16	6.45201e-23	0.136197	-0.00295319
Ridge	11	5.99484e+08	1.6681e-09	8.3405e-10	1	1.11022e-16	1.94256e-18	0.136197	-0.00295332
Ridge	11	1e+10	1e-10	5e-11	1	1.11022e-16	6.9812e-21	0.136197	-0.00295333
OLS	12	0	0.16029	0.0801449	10000	1.11022e-16	114.504	0.0228782	0.831524
Ridge	12	0.1	0.157761	0.0788805	677	1.11022e-16	4.43034e-07	0.047479	0.650364
Ridge	12	1.6681	0.126473	0.0632367	54	1.11022e-16	2.11214e-08	0.076227	0.438664
Ridge	12	27.8256	0.0293562	0.0146781	9	1.11022e-16	5.0166e-10	0.117111	0.137589
Ridge	12	464.159	0.00212586	0.00106293	4	1.11022e-16	5.53613e-12	0.134694	0.00811462
Ridge	12	7742.64	0.000129051	6.45255e-05	3	1.11022e-16	6.02133e-15	0.136105	-0.00227751
Ridge	12	129155	7.74226e-06	3.87113e-06	2	1.11022e-16	1.77408e-15	0.136191	-0.00291277
Ridge	12	2.15443e+06	4.64158e-07	2.32079e-07	2	1.11022e-16	3.8225e-19	0.136196	-0.00295089
Ridge	12	3.59381e+07	2.78256e-08	1.39128e-08	2	1.11022e-16	8.51996e-23	0.136197	-0.00295318
Ridge	12	5.99484e+08	1.6681e-09	8.3405e-10	1	1.11022e-16	2.01876e-18	0.136197	-0.00295332
Ridge	12	1e+10	1e-10	5e-11	1	1.11022e-16	7.25503e-21	0.136197	-0.00295333
OLS	13	0	0.14773	0.0738651	10000	1.11022e-16	138.906	0.0226086	0.83351
Ridge	13	0.1	0.14558	0.0727898	730	1.11022e-16	4.72447e-07	0.0474804	0.650353
Ridge	13	1.6681	0.118523	0.0592614	58	1.11022e-16	2.17e-08	0.0762491	0.4385
Ridge	13	27.8256	0.0289062	0.0144531	9	1.11022e-16	9.49368e-10	0.117101	0.137666
Ridge	13	464.159	0.00212347	0.00106173	4	1.11022e-16	7.81417e-12	0.134691	0.00813248
Ridge	13	7742.64	0.000129042	6.45211e-05	3	1.11022e-16	7.88288e-15	0.136105	-0.00227635
Ridge	13	129155	7.74223e-06	3.87112e-06	2	1.11022e-16	2.17696e-15	0.136191	-0.0029127
Ridge	13	2.15443e+06	4.64157e-07	2.32079e-07	2	1.11022e-16	4.69124e-19	0.136196	-0.00295089
Ridge	13	3.59381e+07	2.78256e-08	1.39128e-08	2	1.11022e-16	1.01743e-22	0.136197	-0.00295318
Ridge	13	5.99484e+08	1.6681e-09	8.3405e-10	1	1.11022e-16	2.41019e-18	0.136197	-0.00295332
Ridge	13	1e+10	1e-10	5e-11	1	1.11022e-16	8.66177e-21	0.136197	-0.00295333
OLS	14	0	0.13931	0.0696551	10000	1.11022e-16	473.495	0.0249892	0.815979
Ridge	14	0.1	0.137396	0.068698	777	1.11022e-16	4.9253e-07	0.0471892	0.652498
Ridge	14	1.6681	0.113041	0.0565206	61	1.11022e-16	2.50004e-08	0.0761424	0.439286
Ridge	14	27.8256	0.0285683	0.0142842	9	1.11022e-16	1.49165e-09	0.116236	0.144034
Ridge	14	464.159	0.00212162	0.00106081	4	1.11022e-16	1.05871e-11	0.134574	0.00899572
Ridge	14	7742.64	0.000129035	6.45177e-05	3	1.11022e-16	1.012e-14	0.136097	-0.00222188
Ridge	14	129155	7.74221e-06	3.8711e-06	2	1.11022e-16	2.58975e-15	0.136191	-0.00290942
Ridge	14	2.15443e+06	4.64157e-07	2.32079e-07	2	1.11022e-16	5.58009e-19	0.136196	-0.00295069
Ridge	14	3.59381e+07	2.78256e-08	1.39128e-08	2	1.11022e-16	1.19114e-22	0.136197	-0.00295317
Ridge	14	5.99484e+08	1.6681e-09	8.3405e-10	1	1.11022e-16	2.52529e-18	0.136197	-0.00295332
Ridge	14	1e+10	1e-10	5e-11	1	1.11022e-16	9.07539e-21	0.136197	-0.00295333
OLS	15	0	0.130093	0.0650467	10000	1.11022e-16	508.617	0.0246967	0.818133
Ridge	15	0.1	0.128423	0.0642113	827	1.11022e-16	5.22567e-07	0.0471891	0.652499
Ridge	15	1.6681	0.106896	0.053448	65	1.11022e-16	2.4574e-08	0.0761525	0.439212
Ridge	15	27.8256	0.0281592	0.0140796	10	1.11022e-16	5.14736e-10	0.116231	0.144073
Ridge	15	464.159	0.00211934	0.00105967	4	1.11022e-16	1.41402e-11	0.134572	0.00900982
Ridge	15	7742.64	0.000129027	6.45134e-05	3	1.11022e-16	1.26736e-14	0.136097	-0.00222095
Ridge	15	129155	7.74218e-06	3.87109e-06	2	1.11022e-16	3.06043e-15	0.136191	-0.00290936
Ridge	15	2.15443e+06	4.64157e-07	2.32079e-07	2	1.11022e-16	6.59442e-19	0.136196	-0.00295069
Ridge	15	3.59381e+07	2.78256e-08	1.39128e-08	2	1.11022e-16	1.44757e-22	0.136197	-0.00295317
Ridge	15	5.99484e+08	1.6681e-09	8.3405e-10	1	1.11022e-16	2.90149e-18	0.136197	-0.00295332
Ridge	15	1e+10	1e-10	5e-11	1	1.11022e-16	1.04274e-20	0.136197	-0.00295333
