Test MSE	Train MSE
0.0998497	0.0847272
0.0591712	0.0467638
0.0578857	0.0466393
0.0356639	0.0269581
0.0361655	0.026667
0.0258481	0.0172048
0.0246665	0.0170818
0.0140834	0.0127076
0.0142217	0.0126934
0.0101818	0.00968616
0.0100278	0.00967265
0.0123904	0.00847885
0.0124899	0.0084687
0.0114361	0.00797445
0.0112847	0.00795823
