d	params	MSE	R2
1	[0.00160951]	0.181713	-0.0288769
2	[-0.00311463, -0.178617]	0.0895099	0.493185
3	[-0.0721913, -0.185801, 0.0747367]	0.0818677	0.536456
4	[-0.0900941, -0.615422, 0.0765927, 0.451335]	0.0403406	0.771587
5	[-0.273578, -0.618092, 0.557622, 0.446251, -0.321745]	0.034737	0.803315
6	[-0.161053, -1.12775, 0.33012, 1.77201, -0.197622, -0.853159]	0.0243775	0.861972
7	[-0.408673, -1.21136, 1.65342, 1.99715, -2.39773, -1.0005, 1.13897]	0.0213157	0.879308
8	[-0.360411, -1.57829, 1.49543, 3.71984, -2.14367, -3.61912, 0.999719, 1.26844]	0.0193709	0.89032
9	[-0.419452, -1.58564, 2.07785, 3.72836, -3.96714, -3.62882, 3.27926, 1.27773, -0.983277]	0.0182505	0.896664
10	[-0.206762, -3.28085, 1.05914, 15.5902, -1.94818, -34.1152, 1.40984, 34.6306, -0.308215, -13.0601]	0.0100788	0.942933
11	[-0.520759, -3.42144, 5.81616, 16.402, -24.1121, -35.9703, 46.9659, 36.5036, -43.2312, -13.7569, 15.0914]	0.0090727	0.948629
12	[-0.427362, -4.19307, 4.82163, 25.6478, -20.2255, -76.0234, 39.5169, 115.377, -36.41, -85.5755, 12.7153, 24.5233]	0.00539137	0.969473
13	[-0.416254, -4.17544, 4.5772, 25.4476, -18.4539, -75.1896, 33.5507, 113.753, -26.2582, -84.0947, 4.28908, 24.0142, 2.70256]	0.0054172	0.969327
14	[-0.428414, -4.08155, 4.83331, 23.7823, -20.3284, -64.3754, 40.0519, 80.0519, -37.7221, -29.9714, 14.1274, -18.9883, -0.547033, 13.3408]	0.0055597	0.96852
15	[-0.250297, -3.53041, -0.338206, 14.6383, 32.7511, -6.69401, -220.614, -99.3865, 647.364, 261.359, -968.975, -253.947, 722.036, 87.3733, -212.038]	0.011947	0.932355
