d	lambda	params	MSE	R2
7	464.159	[3.56362e-06, -0.000382861, -1.07494e-05, -0.000271587, -2.26382e-05, -0.000206194, -2.78857e-05]	0.180827	-0.0238641
7	7742.64	[2.08228e-07, -2.30523e-05, -6.60418e-07, -1.63837e-05, -1.37575e-06, -1.24596e-05, -1.69013e-06]	0.181354	-0.0268463
7	129155	[1.24631e-08, -1.38231e-06, -3.96492e-08, -9.82548e-07, -8.25417e-08, -7.47291e-07, -1.01388e-07]	0.181386	-0.0270265
7	2.15443e+06	[7.47073e-10, -8.28686e-08, -2.37712e-09, -5.89035e-08, -4.94849e-09, -4.48002e-08, -6.07828e-09]	0.181388	-0.0270373
7	3.59381e+07	[4.47856e-11, -4.96785e-09, -1.42505e-10, -3.53118e-09, -2.96655e-10, -2.68571e-09, -3.64384e-10]	0.181388	-0.027038
7	5.99484e+08	[2.68483e-12, -2.97815e-10, -8.54296e-12, -2.11689e-10, -1.7784e-11, -1.61004e-10, -2.18443e-11]	0.181388	-0.027038
7	1e+10	[1.60951e-13, -1.78535e-11, -5.12137e-13, -1.26904e-11, -1.06612e-12, -9.65193e-12, -1.30953e-12]	0.181388	-0.027038
8	0.1	[-0.0339026, -0.252772, 0.0314914, -0.00460072, 0.0111735, 0.0595774, -0.0151256, 0.0616347]	0.0711856	0.596939
8	1.6681	[0.000369748, -0.0550107, 0.00150722, -0.0243314, -0.000400439, -0.00890756, -0.0018008, -0.000936537]	0.131777	0.253866
8	27.8256	[8.04673e-05, -0.00590482, -0.000109852, -0.00402932, -0.000296381, -0.00295072, -0.000384757, -0.00231114]	0.172453	0.0235511
8	464.159	[3.57945e-06, -0.000382577, -1.07123e-05, -0.000271254, -2.25975e-05, -0.000205842, -2.78462e-05, -0.000166275]	0.180765	-0.0235136
8	7742.64	[2.08286e-07, -2.30512e-05, -6.60281e-07, -1.63825e-05, -1.3756e-06, -1.24583e-05, -1.68999e-06, -1.00815e-05]	0.18135	-0.0268246
8	129155	[1.24633e-08, -1.38231e-06, -3.96487e-08, -9.82543e-07, -8.25411e-08, -7.47287e-07, -1.01387e-07, -6.04783e-07]	0.181386	-0.0270252
8	2.15443e+06	[7.47074e-10, -8.28686e-08, -2.37711e-09, -5.89035e-08, -4.94848e-09, -4.48002e-08, -6.07828e-09, -3.62573e-08]	0.181388	-0.0270373
8	3.59381e+07	[4.47856e-11, -4.96785e-09, -1.42505e-10, -3.53118e-09, -2.96655e-10, -2.68571e-09, -3.64384e-10, -2.17357e-09]	0.181388	-0.027038
8	5.99484e+08	[2.68483e-12, -2.97815e-10, -8.54296e-12, -2.11689e-10, -1.7784e-11, -1.61004e-10, -2.18443e-11, -1.30302e-10]	0.181388	-0.027038
8	1e+10	[1.60951e-13, -1.78535e-11, -5.12137e-13, -1.26904e-11, -1.06612e-12, -9.65193e-12, -1.30953e-12, -7.81142e-12]	0.181388	-0.027038
9	0.1	[-0.0366256, -0.252862, 0.0326098, -0.00508144, 0.0179298, 0.0594443, -0.00341906, 0.0621604, -0.0187627]	0.0710657	0.597618
9	1.6681	[0.000491044, -0.0549948, 0.00177465, -0.0243175, -3.09691e-05, -0.00889491, -0.00136789, -0.000922551, -0.00187067]	0.131869	0.253343
9	27.8256	[8.79343e-05, -0.00590378, -9.95545e-05, -0.00402813, -0.000284651, -0.00294951, -0.000372396, -0.00230996, -0.000386699]	0.172403	0.0238345
9	464.159	[3.61751e-06, -0.000382572, -1.0661e-05, -0.000271247, -2.25399e-05, -0.000205835, -2.7786e-05, -0.000166268, -2.839e-05]	0.18076	-0.0234825
9	7742.64	[2.08426e-07, -2.30512e-05, -6.60093e-07, -1.63825e-05, -1.37539e-06, -1.24583e-05, -1.68977e-06, -1.00815e-05, -1.72487e-06]	0.18135	-0.0268227
9	129155	[1.24638e-08, -1.38231e-06, -3.9648e-08, -9.82543e-07, -8.25404e-08, -7.47287e-07, -1.01386e-07, -6.04783e-07, -1.03487e-07]	0.181386	-0.0270251
9	2.15443e+06	[7.47076e-10, -8.28686e-08, -2.37711e-09, -5.89035e-08, -4.94848e-09, -4.48002e-08, -6.07827e-09, -3.62573e-08, -6.20417e-09]	0.181388	-0.0270372
9	3.59381e+07	[4.47856e-11, -4.96785e-09, -1.42505e-10, -3.53118e-09, -2.96655e-10, -2.68571e-09, -3.64384e-10, -2.17357e-09, -3.71932e-10]	0.181388	-0.027038
9	5.99484e+08	[2.68483e-12, -2.97815e-10, -8.54296e-12, -2.11689e-10, -1.7784e-11, -1.61004e-10, -2.18443e-11, -1.30302e-10, -2.22967e-11]	0.181388	-0.027038
