d	params	MSE	R2
1	[0.022121]	0.0998497	-0.0120719
2	[-0.00221905, -0.196356]	0.0591712	0.400243
3	[0.0224784, -0.197214, -0.0272115]	0.0578857	0.413273
4	[0.0384492, -0.658039, -0.0418531, 0.481628]	0.0356639	0.638512
5	[0.100079, -0.652622, -0.227179, 0.474104, 0.13251]	0.0361655	0.633429
6	[0.105019, -1.3393, -0.271927, 2.33882, 0.198192, -1.2268]	0.0258481	0.738005
7	[0.0510134, -1.3531, 0.0408304, 2.3774, -0.356547, -1.25616, 0.298169]	0.0246665	0.749982
8	[0.0256499, -2.21251, 0.0599495, 6.57782, -0.2455, -7.77487, 0.158355, 3.18859]	0.0140834	0.857252
9	[0.00108728, -2.22007, 0.298102, 6.61091, -1.00357, -7.8291, 1.10857, 3.21929, -0.407866]	0.0142217	0.855849
10	[-0.038958, -3.31433, 0.430039, 15.2424, -1.08137, -31.6595, 0.843065, 30.3335, -0.118084, -10.8661]	0.0101818	0.896798
11	[-0.011421, -3.30534, 0.0388993, 15.1866, 0.838369, -31.5135, -3.29849, 30.1572, 3.92364, -10.7854, -1.45902]	0.0100278	0.898358
12	[-0.0367821, -4.48412, 0.072248, 28.2349, 1.27196, -84.7241, -5.07639, 130.199, 6.42177, -98.7953, -2.66276, 29.3388]	0.0123904	0.874411
13	[-0.0644753, -4.48307, 0.665881, 28.2129, -3.07534, -84.6581, 9.3477, 130.166, -17.4176, -98.8783, 16.5011, 29.4141, -5.97146]	0.0124899	0.873403
14	[-0.0706313, -5.50677, 0.639988, 43.7142, -2.65966, -175.345, 7.56469, 389.687, -13.4699, -486.188, 12.0759, 318.677, -4.04411, -85.3088]	0.0114361	0.884084
15	[-0.032164, -5.54222, -0.476027, 44.2346, 8.32333, -178.24, -43.0969, 397.602, 110.409, -497.427, -153.152, 326.566, 109.393, -87.4518, -31.3402]	0.0112847	0.885619
