d	params	MSE	R2
1	[0.0190479]	0.101848	-0.00828681
2	[0.00447617, -0.216114]	0.0514651	0.490499
3	[-0.0224893, -0.216633, 0.0293742]	0.0514755	0.490396
4	[-0.0309118, -0.698013, 0.0323912, 0.502734]	0.0295552	0.707405
5	[-0.044501, -0.69728, 0.0731433, 0.501913, -0.0290572]	0.029364	0.709299
6	[-0.0270217, -1.30945, 0.0660193, 2.1181, -0.0348356, -1.04908]	0.0205661	0.796397
7	[-0.0654822, -1.31013, 0.291394, 2.11882, -0.427145, -1.04923, 0.207079]	0.020681	0.795259
8	[-0.0579202, -2.03479, 0.328377, 5.58804, -0.514573, -6.33018, 0.254912, 2.54511]	0.0142511	0.858915
9	[-0.0298071, -2.03423, 0.0601371, 5.59366, 0.305509, -6.34375, -0.734854, 2.55274, 0.411455]	0.014322	0.858213
10	[-0.0246247, -2.68777, 0.0880315, 10.4866, 0.110935, -19.1156, -0.430692, 16.3718, 0.267686, -5.29914]	0.0131014	0.870297
11	[-0.0410365, -2.68879, 0.32063, 10.4845, -0.983808, -19.0975, 1.81022, 16.3442, -1.8062, -5.28641, 0.711915]	0.0131681	0.869637
12	[-0.0464294, -3.69162, 0.510957, 21.0665, -2.20871, -60.1369, 4.66315, 89.7754, -4.63396, -66.7999, 1.72706, 19.5482]	0.0117491	0.883685
13	[-0.0735483, -3.68709, 1.06136, 20.9816, -5.93708, -59.7085, 16.1166, 88.8885, -22.2544, -65.9832, 14.9787, 19.2703, -3.88101]	0.011763	0.883547
14	[-0.0661224, -4.45534, 1.01876, 31.899, -6.2734, -118.897, 18.58, 245.482, -27.7563, -282.316, 20.1774, 169.246, -5.67173, -41.2058]	0.0115331	0.885823
15	[-0.0628226, -4.45611, 0.930904, 31.9129, -5.48829, -118.983, 15.2966, 245.73, -20.4653, -282.682, 11.3173, 169.514, -0.105765, -41.2836, -1.41409]	0.0115335	0.885819
