Test MSE	Train MSE
0.181713	0.076544
0.0895099	0.0446621
0.0818677	0.0438735
0.0403406	0.0244856
0.034737	0.0226925
0.0243775	0.0175758
0.0213157	0.0156323
0.0193709	0.0150725
0.0182505	0.0149775
0.0100788	0.010042
0.0090727	0.00910616
0.00539137	0.00862719
0.0054172	0.00862633
0.0055597	0.00862181
0.011947	0.00836855
