d	lambda	params	MSE	R2
1	0.1	[0.0173163]	0.10177	-0.00751385
1	1.6681	[0.00713913]	0.101449	-0.00434284
1	27.8256	[0.000660799]	0.101369	-0.00354564
1	464.159	[4.09493e-05]	0.101366	-0.00351917
1	7742.64	[2.45981e-06]	0.101366	-0.00351781
1	129155	[1.4748e-07]	0.101366	-0.00351773
1	2.15443e+06	[8.84125e-09]	0.101366	-0.00351773
1	3.59381e+07	[5.30019e-10]	0.101366	-0.00351773
1	5.99484e+08	[3.17738e-11]	0.101366	-0.00351773
1	1e+10	[1.90479e-12]	0.101366	-0.00351773
2	0.1	[0.00527653, -0.196419]	0.0520142	0.485063
2	1.6681	[0.00509257, -0.0809838]	0.0712724	0.294408
2	27.8256	[0.000643241, -0.00750628]	0.0979925	0.0298809
2	464.159	[4.08818e-05, -0.000465246]	0.101154	-0.00141301
2	7742.64	[2.45957e-06, -2.79476e-05]	0.101353	-0.00339117
2	129155	[1.47479e-07, -1.67562e-06]	0.101365	-0.00351014
2	2.15443e+06	[8.84125e-09, -1.00451e-07]	0.101366	-0.00351727
2	3.59381e+07	[5.30019e-10, -6.02191e-09]	0.101366	-0.0035177
2	5.99484e+08	[3.17738e-11, -3.61004e-10]	0.101366	-0.00351773
2	1e+10	[1.90479e-12, -2.16416e-11]	0.101366	-0.00351773
3	0.1	[-0.00667938, -0.196575, 0.0143334]	0.0520147	0.485058
3	1.6681	[0.00362037, -0.0809499, 0.00428691]	0.0712881	0.294253
3	27.8256	[0.000624007, -0.00750539, 0.00060479]	0.0979807	0.0299972
3	464.159	[4.08044e-05, -0.000465243, 3.92973e-05]	0.101153	-0.00140379
3	7742.64	[2.45929e-06, -2.79476e-05, 2.36762e-06]	0.101353	-0.0033906
3	129155	[1.47478e-07, -1.67562e-06, 1.41978e-07]	0.101365	-0.0035101
3	2.15443e+06	[8.84125e-09, -1.00451e-07, 8.51149e-09]	0.101366	-0.00351727
3	3.59381e+07	[5.30019e-10, -6.02191e-09, 5.10251e-10]	0.101366	-0.0035177
3	5.99484e+08	[3.17738e-11, -3.61004e-10, 3.05887e-11]	0.101366	-0.00351773
3	1e+10	[1.90479e-12, -2.16416e-11, 1.83375e-12]	0.101366	-0.00351773
4	0.1	[-0.00688373, -0.273593, 0.0140622, 0.0885305]	0.0452597	0.551932
4	1.6681	[0.00325179, -0.0675932, 0.00417395, -0.0372827]	0.0687164	0.319712
