d	params	MSE	R2
0	[0]	0.276024	-1.28564
1	[0, 0.0257322]	0.273391	-1.26383
2	[0, 0.0227668, -0.227934]	0.145474	-0.204611
3	[0, -0.0305277, -0.230506, 0.0575238]	0.143327	-0.18683
4	[0, -0.0249877, -0.816557, 0.0208871, 0.610555]	0.0920671	0.237631
5	[0, -0.119354, -0.815529, 0.313286, 0.613047, -0.209494]	0.0947077	0.215766
6	[0, -0.0842074, -1.55967, 0.225525, 2.77599, -0.124136, -1.46947]	0.0930448	0.229535
7	[0, -0.0235174, -1.57283, -0.126987, 2.80977, 0.506396, -1.48827, -0.339096]	0.0962469	0.20302
8	[0, -0.0384462, -2.34224, 0.158713, 6.88169, -0.141182, -8.05575, 0.0298561, 3.26741]	0.0743012	0.384743
9	[0, -0.123228, -2.32551, 0.975124, 6.77444, -2.74743, -7.85553, 3.28713, 3.15915, -1.3854]	0.0754672	0.375088
10	[0, -0.0968195, -3.55129, 0.977169, 17.041, -3.11838, -36.676, 4.08038, 35.8654, -1.83019, -12.9505]	0.0970635	0.196258
11	[0, 0.031405, -3.56707, -0.970904, 17.1917, 6.78848, -37.1189, -17.5569, 36.3844, 19.2169, -13.1631, -7.50089]	0.111272	0.0786015
12	[0, 0.0316073, -3.53905, -0.979764, 16.8463, 6.84884, -35.6187, -17.7035, 33.455, 19.3661, -10.5323, -7.5553, -0.88439]	0.113001	0.0642888
13	[0, 0.0536232, -3.53826, -1.42784, 16.848, 9.94599, -35.6677, -27.4677, 33.6022, 34.7827, -10.6925, -19.4362, -0.824801, 3.5577]	0.10963	0.0921995
14	[0, 0.0268988, -4.14791, -0.903325, 27.4665, 6.16187, -100.506, -15.2846, 219.098, 15.3868, -281.784, -4.48681, 195.385, -0.897927, -55.7858]	0.15632	-0.294419
15	[0, 0.212039, -4.15662, -5.94078, 27.974, 53.954, -105.205, -228.78, 235.481, 518.636, -308.634, -648.161, 216.303, 421.299, -62.0405, -111.214]	0.232903	-0.928567
