d	lambda	params	MSE	R2
1	0.1	[0.00164079]	0.105502	-0.00481855
1	1.6681	[0.00067646]	0.105423	-0.00406345
1	27.8256	[6.26133e-05]	0.105373	-0.00359119
1	464.159	[3.8801e-06]	0.105369	-0.00354635
1	7742.64	[2.33077e-07]	0.105368	-0.00354356
1	129155	[1.39743e-08]	0.105368	-0.0035434
1	2.15443e+06	[8.37743e-10]	0.105368	-0.00354339
1	3.59381e+07	[5.02214e-11]	0.105368	-0.00354339
1	5.99484e+08	[3.01069e-12]	0.105368	-0.00354339
1	1e+10	[1.80486e-13]	0.105368	-0.00354339
2	0.1	[-4.44246e-05, -0.189647]	0.0496535	0.527093
2	1.6681	[0.000390025, -0.0781858]	0.074579	0.289698
2	27.8256	[6.01592e-05, -0.007237]	0.102059	0.0279773
2	464.159	[3.87068e-06, -0.000448473]	0.10516	-0.00156413
2	7742.64	[2.33043e-07, -2.69397e-05]	0.105356	-0.0034244
2	129155	[1.39742e-08, -1.61519e-06]	0.105367	-0.00353625
2	2.15443e+06	[8.37743e-10, -9.68288e-08]	0.105368	-0.00354296
2	3.59381e+07	[5.02214e-11, -5.80474e-09]	0.105368	-0.00354336
2	5.99484e+08	[3.01069e-12, -3.47985e-10]	0.105368	-0.00354338
2	1e+10	[1.80486e-13, -2.08611e-11]	0.105368	-0.00354338
3	0.1	[0.0173838, -0.190335, -0.0208895]	0.0496424	0.527199
3	1.6681	[0.000741303, -0.0782015, -0.00102107]	0.074541	0.29006
3	27.8256	[5.89982e-05, -0.00723694, 3.64535e-05]	0.102061	0.0279535
3	464.159	[3.86473e-06, -0.000448473, 3.01534e-06]	0.105161	-0.00156619
3	7742.64	[2.33021e-07, -2.69397e-05, 1.83977e-07]	0.105356	-0.00342452
3	129155	[1.39741e-08, -1.61519e-06, 1.10407e-08]	0.105367	-0.00353626
3	2.15443e+06	[8.37743e-10, -9.68288e-08, 6.61916e-10]	0.105368	-0.00354296
3	3.59381e+07	[5.02214e-11, -5.80474e-09, 3.9681e-11]	0.105368	-0.00354336
3	5.99484e+08	[3.01069e-12, -3.47985e-10, 2.37881e-12]	0.105368	-0.00354338
3	1e+10	[1.80486e-13, -2.08611e-11, 1.42606e-13]	0.105368	-0.00354338
4	0.1	[0.0162279, -0.265305, -0.017547, 0.085897]	0.044311	0.577976
4	1.6681	[0.00062284, -0.0650481, -0.0017086, -0.0365265]	0.0711444	0.32241
4	27.8256	[5.4023e-05, -0.00705975, 2.41371e-05, -0.00531189]	0.10038	0.0439655
4	464.159	[3.84313e-06, -0.000447764, 2.96447e-06, -0.00034285]	0.105042	-0.000439646
4	7742.64	[2.32943e-07, -2.69372e-05, 1.83793e-07, -2.06473e-05]	0.105349	-0.00335632
4	129155	[1.39738e-08, -1.61518e-06, 1.10401e-08, -1.23811e-06]	0.105367	-0.00353217
4	2.15443e+06	[8.37742e-10, -9.68287e-08, 6.61914e-10, -7.42239e-08]	0.105368	-0.00354271
4	3.59381e+07	[5.02214e-11, -5.80474e-09, 3.9681e-11, -4.44961e-09]	0.105368	-0.00354334
4	5.99484e+08	[3.01069e-12, -3.47985e-10, 2.37881e-12, -2.66747e-10]	0.105368	-0.00354338
4	1e+10	[1.80486e-13, -2.08611e-11, 1.42606e-13, -1.59911e-11]	0.105368	-0.00354338
5	0.1	[0.0164223, -0.265298, -0.0137726, 0.0857681, -0.0044371]	0.0443303	0.577792
5	1.6681	[0.000788393, -0.0650571, -0.00147688, -0.0365422, -0.000789168]	0.0711307	0.322541
5	27.8256	[5.05442e-05, -0.00705949, 1.99945e-05, -0.00531152, 0.000125419]	0.100387	0.0438992
5	464.159	[3.82573e-06, -0.000447763, 2.94395e-06, -0.000342848, 9.77657e-06]	0.105043	-0.000445256
5	7742.64	[2.32879e-07, -2.69371e-05, 1.83718e-07, -2.06472e-05, 5.95288e-07]	0.105349	-0.00335666
5	129155	[1.39736e-08, -1.61518e-06, 1.10398e-08, -1.23811e-06, 3.57199e-08]	0.105367	-0.00353219
5	2.15443e+06	[8.37741e-10, -9.68287e-08, 6.61913e-10, -7.42239e-08, 2.14147e-09]	0.105368	-0.00354271
5	3.59381e+07	[5.02214e-11, -5.80474e-09, 3.9681e-11, -4.44961e-09, 1.28378e-10]	0.105368	-0.00354334
5	5.99484e+08	[3.01069e-12, -3.47985e-10, 2.37881e-12, -2.66747e-10, 7.69607e-12]	0.105368	-0.00354338
5	1e+10	[1.80486e-13, -2.08611e-11, 1.42606e-13, -1.59911e-11, 4.61368e-13]	0.105368	-0.00354338
6	0.1	[0.0161356, -0.282535, -0.0128124, 0.0110226, -0.0022216, 0.100536]	0.0414169	0.605539
6	1.6681	[0.000735352, -0.0608054, -0.00172103, -0.0314591, -0.00114627, -0.0179666]	0.070868	0.325042
6	27.8256	[4.4541e-05, -0.00693092, 8.19664e-06, -0.0051708, 0.00011057, -0.00424472]	0.0993666	0.0536168
6	464.159	[3.79681e-06, -0.000447208, 2.88991e-06, -0.000342244, 9.70951e-06, -0.000285919]	0.104962	0.000322318
6	7742.64	[2.32773e-07, -2.69351e-05, 1.8352e-07, -2.06451e-05, 5.95043e-07, -1.72653e-05]	0.105344	-0.00330986
6	129155	[1.39732e-08, -1.61517e-06, 1.10391e-08, -1.2381e-06, 3.5719e-08, -1.03548e-06]	0.105367	-0.00352938
6	2.15443e+06	[8.37739e-10, -9.68287e-08, 6.6191e-10, -7.42239e-08, 2.14147e-09, -6.20771e-08]	0.105368	-0.00354255
