d	lambda	params	MSE	R2
7	5.99484e+08	[3.69001e-11, -3.27083e-10, 3.61655e-11, -2.44915e-10, 3.65474e-11, -2.01269e-10, 3.41564e-11]	0.098745	-0.000874336
7	1e+10	[2.2121e-12, -1.96081e-11, 2.16807e-12, -1.46822e-11, 2.19096e-12, -1.20657e-11, 2.04762e-12]	0.098745	-0.000874338
8	0.1	[0.0149313, -0.264732, -0.020381, -0.00395721, -0.00666363, 0.0543632, 0.00925521, 0.0593418]	0.0497892	0.495339
8	1.6681	[0.00214141, -0.05687, 0.000522712, -0.0269603, 0.00179137, -0.0135842, 0.00293487, -0.0066793]	0.0725298	0.264841
8	27.8256	[0.000644969, -0.00643139, 0.000614314, -0.00463937, 0.000636984, -0.00371255, 0.000609238, -0.00315642]	0.0931281	0.056058
8	464.159	[4.70251e-05, -0.000419949, 4.60146e-05, -0.000313731, 4.65673e-05, -0.000257413, 4.35771e-05, -0.000222809]	0.0983448	0.00318187
8	7742.64	[2.85474e-06, -2.53158e-05, 2.79764e-06, -1.89535e-05, 2.82742e-06, -1.55743e-05, 2.64266e-06, -1.34947e-05]	0.0987207	-0.000628419
8	129155	[1.71267e-07, -1.51815e-06, 1.67857e-07, -1.13676e-06, 1.6963e-07, -9.34174e-07, 1.58533e-07, -8.09488e-07]	0.0987435	-0.000859586
8	2.15443e+06	[1.02676e-08, -9.10127e-08, 1.00632e-08, -6.81488e-08, 1.01695e-08, -5.60041e-08, 9.5042e-09, -4.85293e-08]	0.0987449	-0.000873454
8	3.59381e+07	[6.1553e-10, -5.45607e-09, 6.03278e-10, -4.08542e-09, 6.09647e-10, -3.35736e-09, 5.69764e-10, -2.90926e-09]	0.098745	-0.000874285
8	5.99484e+08	[3.69001e-11, -3.27083e-10, 3.61655e-11, -2.44915e-10, 3.65474e-11, -2.01269e-10, 3.41564e-11, -1.74406e-10]	0.098745	-0.000874335
8	1e+10	[2.2121e-12, -1.96081e-11, 2.16807e-12, -1.46822e-11, 2.19096e-12, -1.20657e-11, 2.04762e-12, -1.04553e-11]	0.098745	-0.000874338
9	0.1	[0.0164084, -0.264536, -0.0216077, -0.00385599, -0.0113418, 0.0541481, 0.00176379, 0.0586737, 0.0130316]	0.0497924	0.495307
9	1.6681	[0.00190399, -0.0568468, 4.64513e-05, -0.0269616, 0.00117712, -0.0136175, 0.00224117, -0.00674762, 0.00309428]	0.0725595	0.26454
9	27.8256	[0.000633952, -0.00643029, 0.000599429, -0.00463873, 0.000620515, -0.00371261, 0.000592117, -0.00315725, 0.000535655]	0.0931173	0.0561679
9	464.159	[4.69702e-05, -0.000419943, 4.5942e-05, -0.000313727, 4.64879e-05, -0.000257412, 4.3495e-05, -0.000222812, 3.86412e-05]	0.0983433	0.00319753
9	7742.64	[2.85454e-06, -2.53158e-05, 2.79738e-06, -1.89535e-05, 2.82713e-06, -1.55743e-05, 2.64235e-06, -1.34948e-05, 2.34527e-06]	0.0987206	-0.000627432
9	129155	[1.71266e-07, -1.51815e-06, 1.67856e-07, -1.13676e-06, 1.69629e-07, -9.34174e-07, 1.58532e-07, -8.09488e-07, 1.407e-07]	0.0987435	-0.000859527
9	2.15443e+06	[1.02676e-08, -9.10127e-08, 1.00632e-08, -6.81488e-08, 1.01695e-08, -5.60041e-08, 9.5042e-09, -4.85293e-08, 8.43512e-09]	0.0987449	-0.000873451
9	3.59381e+07	[6.1553e-10, -5.45607e-09, 6.03278e-10, -4.08542e-09, 6.09647e-10, -3.35736e-09, 5.69764e-10, -2.90926e-09, 5.05673e-10]	0.098745	-0.000874285
9	5.99484e+08	[3.69001e-11, -3.27083e-10, 3.61655e-11, -2.44915e-10, 3.65474e-11, -2.01269e-10, 3.41564e-11, -1.74406e-10, 3.03143e-11]	0.098745	-0.000874335
9	1e+10	[2.2121e-12, -1.96081e-11, 2.16807e-12, -1.46822e-11, 2.19096e-12, -1.20657e-11, 2.04762e-12, -1.04553e-11, 1.8173e-12]	0.098745	-0.000874338
10	0.1	[0.0165323, -0.261485, -0.0212427, -0.00788193, -0.0113002, 0.0436598, 0.00111889, 0.0430815, 0.0114961, 0.0290894]	0.0498071	0.495157
10	1.6681	[0.00188992, -0.0565992, 4.43376e-05, -0.0265943, 0.00119456, -0.0131769, 0.00228072, -0.00626168, 0.00315682, -0.00230436]	0.0726472	0.263652
10	27.8256	[0.000630168, -0.00636481, 0.000597141, -0.0045611, 0.000621238, -0.00362944, 0.000596374, -0.00307159, 0.000543593, -0.00269654]	0.0927661	0.0597268
10	464.159	[4.6949e-05, -0.000419612, 4.59275e-05, -0.00031334, 4.6488e-05, -0.000257, 4.35124e-05, -0.00022239, 3.86766e-05, -0.000198525]	0.0983057	0.00357809
10	7742.64	[2.85446e-06, -2.53146e-05, 2.79732e-06, -1.8952e-05, 2.82713e-06, -1.55728e-05, 2.64242e-06, -1.34932e-05, 2.3454e-06, -1.20568e-05]	0.0987183	-0.000603788
10	129155	[1.71266e-07, -1.51815e-06, 1.67855e-07, -1.13675e-06, 1.69629e-07, -9.34168e-07, 1.58532e-07, -8.09482e-07, 1.407e-07, -7.23354e-07]	0.0987434	-0.000858106
10	2.15443e+06	[1.02676e-08, -9.10127e-08, 1.00632e-08, -6.81488e-08, 1.01695e-08, -5.60041e-08, 9.5042e-09, -4.85293e-08, 8.43512e-09, -4.33659e-08]	0.0987449	-0.000873365
10	3.59381e+07	[6.1553e-10, -5.45607e-09, 6.03278e-10, -4.08542e-09, 6.09647e-10, -3.35736e-09, 5.69764e-10, -2.90926e-09, 5.05673e-10, -2.59973e-09]	0.098745	-0.00087428
10	5.99484e+08	[3.69001e-11, -3.27083e-10, 3.61655e-11, -2.44915e-10, 3.65474e-11, -2.01269e-10, 3.41564e-11, -1.74406e-10, 3.03143e-11, -1.5585e-10]	0.098745	-0.000874335
10	1e+10	[2.2121e-12, -1.96081e-11, 2.16807e-12, -1.46822e-11, 2.19096e-12, -1.20657e-11, 2.04762e-12, -1.04553e-11, 1.8173e-12, -9.34294e-12]	0.098745	-0.000874338
11	0.1	[0.0175714, -0.261384, -0.0211752, -0.00774907, -0.0134095, 0.0436419, -0.0030564, 0.0427936, 0.00563226, 0.0284632, 0.0120047]	0.0497881	0.49535
11	1.6681	[0.00173706, -0.0565806, -0.000314348, -0.026598, 0.000702318, -0.0132096, 0.00170375, -0.00632584, 0.00252575, -0.00240063, 0.0031737]	0.0726407	0.263718
11	27.8256	[0.000621707, -0.0063643, 0.000585358, -0.00456105, 0.000607917, -0.00363001, 0.000582297, -0.00307283, 0.000529159, -0.00269846, 0.00046127]	0.0927532	0.0598578
11	464.159	[4.69058e-05, -0.000419609, 4.58689e-05, -0.000313339, 4.64227e-05, -0.000257003, 4.3444e-05, -0.000222395, 3.86068e-05, -0.000198534, 3.28459e-05]	0.0983041	0.00359419
11	7742.64	[2.8543e-06, -2.53146e-05, 2.79711e-06, -1.8952e-05, 2.82689e-06, -1.55728e-05, 2.64217e-06, -1.34932e-05, 2.34514e-06, -1.20569e-05, 1.99258e-06]	0.0987182	-0.000602777
11	129155	[1.71265e-07, -1.51815e-06, 1.67855e-07, -1.13675e-06, 1.69628e-07, -9.34168e-07, 1.58531e-07, -8.09482e-07, 1.40699e-07, -7.23354e-07, 1.19538e-07]	0.0987434	-0.000858045
11	2.15443e+06	[1.02676e-08, -9.10127e-08, 1.00632e-08, -6.81488e-08, 1.01695e-08, -5.60041e-08, 9.5042e-09, -4.85293e-08, 8.43511e-09, -4.3366e-08, 7.1664e-09]	0.0987449	-0.000873362
11	3.59381e+07	[6.1553e-10, -5.45607e-09, 6.03278e-10, -4.08542e-09, 6.09647e-10, -3.35736e-09, 5.69763e-10, -2.90926e-09, 5.05673e-10, -2.59973e-09, 4.29615e-10]	0.098745	-0.00087428
11	5.99484e+08	[3.69001e-11, -3.27083e-10, 3.61655e-11, -2.44915e-10, 3.65474e-11, -2.01269e-10, 3.41564e-11, -1.74406e-10, 3.03143e-11, -1.5585e-10, 2.57548e-11]	0.098745	-0.000874335
11	1e+10	[2.2121e-12, -1.96081e-11, 2.16807e-12, -1.46822e-11, 2.19096e-12, -1.20657e-11, 2.04762e-12, -1.04553e-11, 1.8173e-12, -9.34294e-12, 1.54396e-12]	0.098745	-0.000874338
12	0.1	[0.0175729, -0.260579, -0.0210926, -0.00803823, -0.0133533, 0.0420968, -0.00311126, 0.0401411, 0.00541599, 0.0249133, 0.0115989, 0.00778194]	0.0498175	0.495053
12	1.6681	[0.00173707, -0.0565807, -0.000314348, -0.0265982, 0.000702308, -0.0132098, 0.00170373, -0.00632607, 0.00252572, -0.00240088, 0.00317366, 1.3211e-06]	0.0726406	0.263718
12	27.8256	[0.000620197, -0.00631234, 0.000585772, -0.00449812, 0.000611183, -0.00356147, 0.00058871, -0.00300131, 0.000538774, -0.00262545, 0.000474025, -0.00235251]	0.0925193	0.0622283
12	464.159	[4.68973e-05, -0.000419326, 4.58702e-05, -0.000313002, 4.64388e-05, -0.000256639, 4.34765e-05, -0.000222018, 3.8656e-05, -0.00019815, 3.29115e-05, -0.000180366]	0.0982752	0.0038868
12	7742.64	[2.85427e-06, -2.53135e-05, 2.79711e-06, -1.89508e-05, 2.82695e-06, -1.55715e-05, 2.64229e-06, -1.34918e-05, 2.34532e-06, -1.20555e-05, 1.99282e-06, -1.09833e-05]	0.0987164	-0.000584441
12	129155	[1.71265e-07, -1.51814e-06, 1.67855e-07, -1.13675e-06, 1.69628e-07, -9.34163e-07, 1.58532e-07, -8.09477e-07, 1.407e-07, -7.23349e-07, 1.19538e-07, -6.59054e-07]	0.0987433	-0.000856943
12	2.15443e+06	[1.02676e-08, -9.10127e-08, 1.00632e-08, -6.81488e-08, 1.01695e-08, -5.60041e-08, 9.5042e-09, -4.85293e-08, 8.43512e-09, -4.33659e-08, 7.1664e-09, -3.95115e-08]	0.0987449	-0.000873296
12	3.59381e+07	[6.1553e-10, -5.45607e-09, 6.03278e-10, -4.08542e-09, 6.09647e-10, -3.35736e-09, 5.69764e-10, -2.90926e-09, 5.05673e-10, -2.59973e-09, 4.29615e-10, -2.36866e-09]	0.098745	-0.000874276
12	5.99484e+08	[3.69001e-11, -3.27083e-10, 3.61655e-11, -2.44915e-10, 3.65474e-11, -2.01269e-10, 3.41564e-11, -1.74406e-10, 3.03143e-11, -1.5585e-10, 2.57548e-11, -1.41997e-10]	0.098745	-0.000874335
12	1e+10	[2.2121e-12, -1.96081e-11, 2.16807e-12, -1.46822e-11, 2.19096e-12, -1.20657e-11, 2.04762e-12, -1.04553e-11, 1.8173e-12, -9.34294e-12, 1.54396e-12, -8.51253e-12]	0.098745	-0.000874338
13	0.1	[0.0181993, -0.260541, -0.0205965, -0.00792698, -0.0141192, 0.0421511, -0.00527035, 0.0400485, 0.0020254, 0.0246191, 0.00720075, 0.00725465, 0.0104017]	0.0497906	0.495325
13	1.6681	[0.00164445, -0.0565654, -0.000573817, -0.0266016, 0.00032419, -0.0132375, 0.00124492, -0.00638033, 0.00201205, -0.00248239, 0.00262284, -0.000107104, 0.00310037]	0.0726115	0.264013
13	27.8256	[0.000613753, -0.00631222, 0.000576587, -0.00449844, 0.000600621, -0.00356233, 0.000577401, -0.00300273, 0.000527055, -0.00262744, 0.000462098, -0.00235504, 0.000390146]	0.0925066	0.0623579
13	464.159	[4.68645e-05, -0.000419325, 4.58248e-05, -0.000313003, 4.63874e-05, -0.000256643, 4.3422e-05, -0.000222025, 3.85999e-05, -0.00019816, 3.28547e-05, -0.000180378, 2.67318e-05]	0.0982738	0.00390101
13	7742.64	[2.85415e-06, -2.53135e-05, 2.79695e-06, -1.89508e-05, 2.82676e-06, -1.55715e-05, 2.64209e-06, -1.34919e-05, 2.34512e-06, -1.20555e-05, 1.99261e-06, -1.09834e-05, 1.61765e-06]	0.0987163	-0.000583553
13	129155	[1.71265e-07, -1.51814e-06, 1.67854e-07, -1.13675e-06, 1.69627e-07, -9.34163e-07, 1.58531e-07, -8.09477e-07, 1.40699e-07, -7.23349e-07, 1.19538e-07, -6.59055e-07, 9.70308e-08]	0.0987433	-0.00085689
13	2.15443e+06	[1.02676e-08, -9.10127e-08, 1.00632e-08, -6.81488e-08, 1.01695e-08, -5.60041e-08, 9.5042e-09, -4.85293e-08, 8.43511e-09, -4.33659e-08, 7.1664e-09, -3.95115e-08, 5.81704e-09]	0.0987449	-0.000873292
13	3.59381e+07	[6.1553e-10, -5.45607e-09, 6.03278e-10, -4.08542e-09, 6.09647e-10, -3.35736e-09, 5.69763e-10, -2.90926e-09, 5.05673e-10, -2.59973e-09, 4.29615e-10, -2.36866e-09, 3.48723e-10]	0.098745	-0.000874276
13	5.99484e+08	[3.69001e-11, -3.27083e-10, 3.61655e-11, -2.44915e-10, 3.65474e-11, -2.01269e-10, 3.41564e-11, -1.74406e-10, 3.03143e-11, -1.5585e-10, 2.57548e-11, -1.41997e-10, 2.09054e-11]	0.098745	-0.000874335
13	1e+10	[2.2121e-12, -1.96081e-11, 2.16807e-12, -1.46822e-11, 2.19096e-12, -1.20657e-11, 2.04762e-12, -1.04553e-11, 1.8173e-12, -9.34294e-12, 1.54396e-12, -8.51253e-12, 1.25325e-12]	0.098745	-0.000874338
14	0.1	[0.0182106, -0.261057, -0.0206439, -0.00800426, -0.0141704, 0.0427513, -0.00527318, 0.0413134, 0.00210371, 0.026458, 0.00737983, 0.00956118, 0.010693, -0.00584485]	0.049763	0.495605
14	1.6681	[0.00164936, -0.0566281, -0.000573875, -0.0267136, 0.000316331, -0.0133848, 0.00122827, -0.00655249, 0.00198622, -0.00267202, 0.00258782, -0.000308823, 0.00305636, 0.00120366]	0.0725635	0.2645
14	27.8256	[0.000613748, -0.00627019, 0.000578745, -0.00444665, 0.000605465, -0.00350515, 0.000585066, -0.00294242, 0.000537531, -0.00256533, 0.000475301, -0.00229199, 0.00040595, -0.00208296]	0.09235	0.0639452
14	464.159	[4.68659e-05, -0.000419079, 4.58385e-05, -0.000312705, 4.64161e-05, -0.000256317, 4.34664e-05, -0.000221684, 3.866e-05, -0.000197811, 3.29299e-05, -0.000180026, 2.68215e-05, -0.00016608]	0.0982513	0.00412945
14	7742.64	[2.85415e-06, -2.53126e-05, 2.797e-06, -1.89497e-05, 2.82687e-06, -1.55703e-05, 2.64225e-06, -1.34906e-05, 2.34534e-06, -1.20542e-05, 1.99289e-06, -1.09821e-05, 1.61798e-06, -1.014e-05]	0.0987149	-0.000569112
14	129155	[1.71265e-07, -1.51814e-06, 1.67854e-07, -1.13675e-06, 1.69628e-07, -9.34159e-07, 1.58532e-07, -8.09473e-07, 1.407e-07, -7.23344e-07, 1.19539e-07, -6.5905e-07, 9.7032e-08, -6.08545e-07]	0.0987432	-0.000856021
14	2.15443e+06	[1.02676e-08, -9.10127e-08, 1.00632e-08, -6.81488e-08, 1.01695e-08, -5.6004e-08, 9.5042e-09, -4.85292e-08, 8.43512e-09, -4.33659e-08, 7.1664e-09, -3.95115e-08, 5.81705e-09, -3.64837e-08]	0.0987449	-0.00087324
14	3.59381e+07	[6.1553e-10, -5.45607e-09, 6.03278e-10, -4.08542e-09, 6.09647e-10, -3.35736e-09, 5.69763e-10, -2.90926e-09, 5.05673e-10, -2.59973e-09, 4.29615e-10, -2.36866e-09, 3.48723e-10, -2.18715e-09]	0.098745	-0.000874273
14	5.99484e+08	[3.69001e-11, -3.27083e-10, 3.61655e-11, -2.44915e-10, 3.65474e-11, -2.01269e-10, 3.41564e-11, -1.74406e-10, 3.03143e-11, -1.5585e-10, 2.57548e-11, -1.41997e-10, 2.09054e-11, -1.31116e-10]	0.098745	-0.000874335
14	1e+10	[2.2121e-12, -1.96081e-11, 2.16807e-12, -1.46822e-11, 2.19096e-12, -1.20657e-11, 2.04762e-12, -1.04553e-11, 1.8173e-12, -9.34294e-12, 1.54396e-12, -8.51253e-12, 1.25325e-12, -7.86021e-12]	0.098745	-0.000874338
15	0.1	[0.0185533, -0.261051, -0.0200996, -0.00792617, -0.014315, 0.0428165, -0.00631253, 0.0413038, 0.000213783, 0.0263338, 0.00476026, 0.00929764, 0.00747714, -0.00626272, 0.00869758]	0.0497352	0.495887
15	1.6681	[0.0015969, -0.0566156, -0.00075687, -0.0267159, 3.30874e-05, -0.0134066, 0.000873049, -0.0065959, 0.00157978, -0.00273768, 0.00214512, -0.00039661, 0.00258831, 0.0010944, 0.00293283]	0.0725236	0.264904
15	27.8256	[0.000608884, -0.00627031, 0.000571684, -0.00444716, 0.000597233, -0.00350612, 0.000576155, -0.00294386, 0.000528216, -0.00256723, 0.000465752, -0.00229433, 0.000396275, -0.00208572, 0.000324504]	0.0923385	0.0640611
15	464.159	[4.68421e-05, -0.00041908, 4.58051e-05, -0.000312708, 4.63778e-05, -0.000256322, 4.34255e-05, -0.000221691, 3.86175e-05, -0.00019782, 3.28866e-05, -0.000180036, 2.67777e-05, -0.000166092, 2.06223e-05]	0.0982502	0.00414063
15	7742.64	[2.85407e-06, -2.53126e-05, 2.79687e-06, -1.89497e-05, 2.82673e-06, -1.55703e-05, 2.6421e-06, -1.34906e-05, 2.34518e-06, -1.20542e-05, 1.99273e-06, -1.09821e-05, 1.61782e-06, -1.014e-05, 1.24054e-06]	0.0987148	-0.00056842
15	129155	[1.71264e-07, -1.51814e-06, 1.67854e-07, -1.13675e-06, 1.69627e-07, -9.34159e-07, 1.58531e-07, -8.09473e-07, 1.407e-07, -7.23344e-07, 1.19538e-07, -6.5905e-07, 9.70314e-08, -6.08545e-07, 7.4384e-08]	0.0987432	-0.00085598
15	2.15443e+06	[1.02676e-08, -9.10127e-08, 1.00632e-08, -6.81488e-08, 1.01695e-08, -5.6004e-08, 9.5042e-09, -4.85292e-08, 8.43512e-09, -4.33659e-08, 7.1664e-09, -3.95115e-08, 5.81704e-09, -3.64837e-08, 4.45926e-09]	0.0987449	-0.000873238
15	3.59381e+07	[6.1553e-10, -5.45607e-09, 6.03278e-10, -4.08542e-09, 6.09647e-10, -3.35736e-09, 5.69763e-10, -2.90926e-09, 5.05673e-10, -2.59973e-09, 4.29615e-10, -2.36866e-09, 3.48723e-10, -2.18715e-09, 2.67326e-10]	0.098745	-0.000874273
15	5.99484e+08	[3.69001e-11, -3.27083e-10, 3.61655e-11, -2.44915e-10, 3.65474e-11, -2.01269e-10, 3.41564e-11, -1.74406e-10, 3.03143e-11, -1.5585e-10, 2.57548e-11, -1.41997e-10, 2.09054e-11, -1.31116e-10, 1.60257e-11]	0.098745	-0.000874335
15	1e+10	[2.2121e-12, -1.96081e-11, 2.16807e-12, -1.46822e-11, 2.19096e-12, -1.20657e-11, 2.04762e-12, -1.04553e-11, 1.8173e-12, -9.34294e-12, 1.54396e-12, -8.51253e-12, 1.25325e-12, -7.86021e-12, 9.60718e-13]	0.098745	-0.000874338
