d	lambda	params	MSE	R2
1	0.1	[0.02011]	0.0997107	-0.0106629
1	1.6681	[0.00829092]	0.0990496	-0.0039623
1	27.8256	[0.000767409]	0.0987677	-0.00110433
1	464.159	[4.75558e-05]	0.0987464	-0.00088826
1	7742.64	[2.85667e-06]	0.0987451	-0.000875174
1	129155	[1.71274e-07]	0.098745	-0.000874389
1	2.15443e+06	[1.02677e-08]	0.098745	-0.000874342
1	3.59381e+07	[6.1553e-10]	0.098745	-0.000874339
1	5.99484e+08	[3.69001e-11]	0.098745	-0.000874339
1	1e+10	[2.2121e-12]	0.098745	-0.000874339
2	0.1	[2.27288e-05, -0.178253]	0.059271	0.399232
2	1.6681	[0.00488712, -0.0732639]	0.0739099	0.250853
2	27.8256	[0.00073817, -0.00679915]	0.095916	0.0277998
2	464.159	[4.74435e-05, -0.000421523]	0.0985664	0.000935565
2	7742.64	[2.85626e-06, -2.53215e-05]	0.0987342	-0.000765494
2	129155	[1.71272e-07, -1.51817e-06]	0.0987443	-0.000867812
2	2.15443e+06	[1.02677e-08, -9.10128e-08]	0.0987449	-0.000873947
2	3.59381e+07	[6.1553e-10, -5.45607e-09]	0.098745	-0.000874315
2	5.99484e+08	[3.69001e-11, -3.27083e-10]	0.098745	-0.000874337
2	1e+10	[2.2121e-12, -1.96081e-11]	0.098745	-0.000874338
3	0.1	[0.00966258, -0.178698, -0.0116937]	0.0586593	0.405432
3	1.6681	[0.00392299, -0.0731555, 0.00283682]	0.0740782	0.249146
3	27.8256	[0.000716191, -0.00679577, 0.000695532]	0.0959318	0.0276398
3	464.159	[4.73526e-05, -0.000421509, 4.63859e-05]	0.0985672	0.000928029
3	7742.64	[2.85593e-06, -2.53215e-05, 2.799e-06]	0.0987343	-0.000765937
3	129155	[1.71271e-07, -1.51817e-06, 1.67861e-07]	0.0987443	-0.000867839
3	2.15443e+06	[1.02676e-08, -9.10128e-08, 1.00633e-08]	0.0987449	-0.000873949
3	3.59381e+07	[6.1553e-10, -5.45607e-09, 6.03278e-10]	0.098745	-0.000874315
3	5.99484e+08	[3.69001e-11, -3.27083e-10, 3.61655e-11]	0.098745	-0.000874337
3	1e+10	[2.2121e-12, -1.96081e-11, 2.16807e-12]	0.098745	-0.000874338
4	0.1	[0.0112032, -0.255463, -0.0119561, 0.088439]	0.0527691	0.465135
4	1.6681	[0.00322295, -0.0614994, 0.00201705, -0.0327268]	0.0720615	0.269588
4	27.8256	[0.000696628, -0.00663446, 0.000673719, -0.0048671]	0.094506	0.0420922
4	464.159	[4.7269e-05, -0.000420862, 4.62931e-05, -0.000314748]	0.0984649	0.00196421
4	7742.64	[2.85563e-06, -2.53191e-05, 2.79866e-06, -1.89572e-05]	0.0987281	-0.000703134
4	129155	[1.7127e-07, -1.51816e-06, 1.6786e-07, -1.13677e-06]	0.098744	-0.000864071
4	2.15443e+06	[1.02676e-08, -9.10127e-08, 1.00633e-08, -6.81489e-08]	0.0987449	-0.000873723
4	3.59381e+07	[6.1553e-10, -5.45607e-09, 6.03278e-10, -4.08542e-09]	0.098745	-0.000874302
4	5.99484e+08	[3.69001e-11, -3.27083e-10, 3.61655e-11, -2.44915e-10]	0.098745	-0.000874336
4	1e+10	[2.2121e-12, -1.96081e-11, 2.16807e-12, -1.46822e-11]	0.098745	-0.000874338
5	0.1	[0.0111681, -0.255295, -0.0176468, 0.0882648, 0.00646855]	0.0528826	0.463985
5	1.6681	[0.00272505, -0.0614519, 0.00128701, -0.0326957, 0.00248046]	0.0721768	0.268419
5	27.8256	[0.00067859, -0.0066317, 0.000651729, -0.00486466, 0.000669317]	0.0945106	0.0420456
5	464.159	[4.71881e-05, -0.000420849, 4.61956e-05, -0.000314736, 4.67256e-05]	0.0984646	0.00196711
5	7742.64	[2.85534e-06, -2.53191e-05, 2.79831e-06, -1.89571e-05, 2.828e-06]	0.0987281	-0.000702932
5	129155	[1.71269e-07, -1.51816e-06, 1.67859e-07, -1.13677e-06, 1.69632e-07]	0.098744	-0.000864059
5	2.15443e+06	[1.02676e-08, -9.10127e-08, 1.00633e-08, -6.81489e-08, 1.01695e-08]	0.0987449	-0.000873722
5	3.59381e+07	[6.1553e-10, -5.45607e-09, 6.03278e-10, -4.08542e-09, 6.09647e-10]	0.098745	-0.000874302
5	5.99484e+08	[3.69001e-11, -3.27083e-10, 3.61655e-11, -2.44915e-10, 3.65474e-11]	0.098745	-0.000874336
5	1e+10	[2.2121e-12, -1.96081e-11, 2.16807e-12, -1.46822e-11, 2.19096e-12]	0.098745	-0.000874338
6	0.1	[0.012861, -0.268506, -0.0171432, 0.016424, 0.00265276, 0.0930928]	0.0502115	0.491058
6	1.6681	[0.00254233, -0.0579433, 0.00114253, -0.0283811, 0.00247309, -0.0151719]	0.072262	0.267556
6	27.8256	[0.000666362, -0.00651797, 0.000639131, -0.00473848, 0.000660028, -0.00381575]	0.0936684	0.050582
6	464.159	[4.71302e-05, -0.000420355, 4.61355e-05, -0.000314192, 4.66797e-05, -0.00025789]	0.0983958	0.00266456
6	7742.64	[2.85512e-06, -2.53173e-05, 2.79809e-06, -1.89552e-05, 2.82784e-06, -1.55761e-05]	0.0987239	-0.000660315
6	129155	[1.71268e-07, -1.51816e-06, 1.67858e-07, -1.13676e-06, 1.69631e-07, -9.3418e-07]	0.0987437	-0.000861501
6	2.15443e+06	[1.02676e-08, -9.10127e-08, 1.00633e-08, -6.81488e-08, 1.01695e-08, -5.60041e-08]	0.0987449	-0.000873569
6	3.59381e+07	[6.1553e-10, -5.45607e-09, 6.03278e-10, -4.08542e-09, 6.09647e-10, -3.35736e-09]	0.098745	-0.000874292
6	5.99484e+08	[3.69001e-11, -3.27083e-10, 3.61655e-11, -2.44915e-10, 3.65474e-11, -2.01269e-10]	0.098745	-0.000874336
6	1e+10	[2.2121e-12, -1.96081e-11, 2.16807e-12, -1.46822e-11, 2.19096e-12, -1.20657e-11]	0.098745	-0.000874338
7	0.1	[0.0142946, -0.268232, -0.0210918, 0.0163835, -0.00591201, 0.0925287, 0.0122428]	0.0502692	0.490473
7	1.6681	[0.00219538, -0.0579123, 0.000544522, -0.0283728, 0.0017521, -0.0151958, 0.00282434]	0.0723363	0.266802
7	27.8256	[0.000652153, -0.0065161, 0.000620716, -0.00473702, 0.000640222, -0.00381503, 0.000608464]	0.0936631	0.0506352
7	464.159	[4.70624e-05, -0.000420346, 4.60491e-05, -0.000314184, 4.65875e-05, -0.000257886, 4.35788e-05]	0.0983947	0.00267607
7	7742.64	[2.85488e-06, -2.53173e-05, 2.79777e-06, -1.89551e-05, 2.8275e-06, -1.5576e-05, 2.64266e-06]	0.0987238	-0.000659582
7	129155	[1.71267e-07, -1.51816e-06, 1.67857e-07, -1.13676e-06, 1.6963e-07, -9.3418e-07, 1.58533e-07]	0.0987437	-0.000861457
7	2.15443e+06	[1.02676e-08, -9.10127e-08, 1.00632e-08, -6.81488e-08, 1.01695e-08, -5.60041e-08, 9.5042e-09]	0.0987449	-0.000873566
7	3.59381e+07	[6.1553e-10, -5.45607e-09, 6.03278e-10, -4.08542e-09, 6.09647e-10, -3.35736e-09, 5.69764e-10]	0.098745	-0.000874292
